GeneID	Chr	Start	End	Strand
OG_2271	OLZO01000021	1	384	+
OG_1913	OLZO01000021	773	979	-
OG_1500	OLZO01000021	1626	2261	-
OG_457	OLZO01000021	2715	3470	+
OG_4770	OLZO01000021	3622	3876	+
OG_1911	OLZO01000021	3873	4151	+
OG_105	OLZO01000021	4177	4527	-
OG_1910	OLZO01000021	4550	4825	-
OG_211	OLZO01000021	4836	5366	-
OG_1502	OLZO01000021	5363	6112	-
OG_1909	OLZO01000021	6090	6377	-
OG_473	OLZO01000021	6465	7700	-
OG_317	OLZO01000021	8286	8789	-
OG_1901	OLZO01000021	8889	9488	-
OG_82	OLZO01000021	9488	9799	-
OG_478	OLZO01000021	9792	10400	-
OG_1907	OLZO01000021	10372	10920	-
OG_1906	OLZO01000021	10920	11177	-
OG_1503	OLZO01000021	11204	12031	-
OG_1504	OLZO01000021	12050	13150	-
OG_1505	OLZO01000021	13226	13810	-
OG_1905	OLZO01000021	13807	14073	-
OG_1507	OLZO01000021	14077	14262	-
OG_1904	OLZO01000021	14265	14624	-
OG_110	OLZO01000021	14629	15615	-
OG_434	OLZO01000021	15615	17024	-
OG_2259	OLZO01000021	17127	18176	-
OG_83	OLZO01000021	19009	19422	+
OG_1508	OLZO01000021	19415	19855	+
OG_1214	OLZO01000021	19857	20555	+
OG_1509	OLZO01000021	20561	20809	+
OG_1903	OLZO01000021	20806	21360	+
OG_1902	OLZO01000021	21329	21646	+
OG_64	OLZO01000021	21646	24435	+
OG_47	OLZO01000021	24486	27248	+
OG_106	OLZO01000021	27383	28537	+
OG_1040	OLZO01000021	28556	30259	+
OG_84	OLZO01000021	30336	31400	+
OG_85	OLZO01000021	31403	32077	+
OG_129	OLZO01000021	32316	33023	+
OG_1212	OLZO01000021	33148	35121	+
OG_1510	OLZO01000021	35222	37981	+
OG_104	OLZO01000021	37987	40386	+
OG_4775	OLZO01000021	40391	41956	+
OG_4776	OLZO01000021	41953	43569	+
OG_4777	OLZO01000021	43562	44938	+
OG_1955	OLZO01000021	44998	45681	+
OG_65	OLZO01000021	45686	46135	+
OG_1511	OLZO01000021	46194	46742	+
OG_1952	OLZO01000021	46717	47223	+
OG_1961	OLZO01000021	48162	49214	+
OG_1960	OLZO01000021	49219	49854	+
OG_907	OLZO01000021	49908	50786	+
OG_1512	OLZO01000021	50804	51154	+
OG_1513	OLZO01000021	51126	51368	+
OG_1790	OLZO01000021	51434	52576	+
OG_1951	OLZO01000021	52536	52721	+
OG_463	OLZO01000021	52865	53560	+
OG_86	OLZO01000021	53601	54446	+
OG_459	OLZO01000021	54657	55400	+
OG_1950	OLZO01000021	55481	55933	+
OG_1949	OLZO01000021	55933	56166	+
OG_1514	OLZO01000021	56168	56584	+
OG_87	OLZO01000021	56577	56891	+
OG_88	OLZO01000021	56893	57699	+
OG_100	OLZO01000021	57701	62167	+
OG_1954	OLZO01000021	62693	62794	+
OG_89	OLZO01000021	62872	63528	+
OG_4770	OLZO01000021	63530	63802	+
OG_100	OLZO01000021	63850	64137	-
OG_1231	OLZO01000021	64275	64742	+
OG_581	OLZO01000021	64835	65719	+
OG_227	OLZO01000021	65734	66453	+
OG_1948	OLZO01000021	66595	67095	+
OG_408	OLZO01000021	67283	73801	+
OG_2258	OLZO01000021	73806	73982	+
OG_471	OLZO01000021	74073	76334	+
OG_2269	OLZO01000021	76359	76529	+
OG_2268	OLZO01000021	76526	77464	+
OG_1900	OLZO01000021	77524	77901	+
OG_90	OLZO01000021	78005	80605	+
OG_131	OLZO01000021	80609	83605	+
OG_62	OLZO01000021	83583	88439	+
OG_1947	OLZO01000021	88621	89151	+
OG_360	OLZO01000021	89346	90227	+
OG_130	OLZO01000021	90411	92648	+
OG_268	OLZO01000021	92896	93906	+
OG_352	OLZO01000021	93930	94343	+
OG_304	OLZO01000021	94401	94898	+
OG_91	OLZO01000021	94900	95265	+
OG_319	OLZO01000021	95335	95652	+
OG_1484	OLZO01000021	95884	96213	+
OG_4165	OLZO01000021	96213	96329	+
OG_70	OLZO01000021	96290	98314	+
OG_169	OLZO01000021	98321	99364	+
OG_3234	OLZO01000021	99315	99407	-
OG_426	OLZO01000021	99460	100119	+
OG_426	OLZO01000021	100216	100533	+
OG_92	OLZO01000021	100658	100936	+
OG_427	OLZO01000021	100933	101334	+
OG_130	OLZO01000021	101422	108666	+
OG_123	OLZO01000021	108784	109905	+
OG_200	OLZO01000021	110131	110529	-
OG_1777	OLZO01000021	110526	110804	-
OG_111	OLZO01000021	110782	111564	-
OG_2283	OLZO01000021	111709	112551	-
OG_3106	OLZO01000021	112690	113082	-
OG_93	OLZO01000021	113095	113535	-
OG_2266	OLZO01000021	113541	113696	-
OG_1946	OLZO01000021	113693	114205	-
OG_1945	OLZO01000021	114178	114633	-
OG_1489	OLZO01000021	114637	114867	-
OG_1944	OLZO01000021	114860	114976	-
OG_147	OLZO01000021	114973	115557	-
OG_2282	OLZO01000021	115583	115798	-
OG_4779	OLZO01000021	115831	116226	-
OG_4166	OLZO01000021	116231	116368	-
OG_2281	OLZO01000021	116368	116871	-
OG_4781	OLZO01000021	116986	117192	-
OG_1941	OLZO01000021	117146	117565	-
OG_1940	OLZO01000021	117562	118125	-
OG_2280	OLZO01000021	118073	118300	-
OG_102	OLZO01000021	118325	119341	-
OG_3410	OLZO01000021	119354	119563	-
OG_1515	OLZO01000021	120038	121183	-
OG_1936	OLZO01000021	121188	121463	-
OG_1520	OLZO01000021	121465	121791	-
OG_447	OLZO01000021	121767	122402	-
OG_2265	OLZO01000021	122584	122709	-
OG_1935	OLZO01000021	122726	122953	-
OG_3107	OLZO01000021	122950	123318	-
OG_1501	OLZO01000021	123320	124186	-
OG_99	OLZO01000021	124183	125658	-
OG_1934	OLZO01000021	125633	125812	-
OG_1933	OLZO01000021	125805	126395	-
OG_1485	OLZO01000021	126461	127486	-
OG_1931	OLZO01000021	127467	127922	-
OG_1930	OLZO01000021	127876	127974	-
OG_1542	OLZO01000021	127974	128249	-
OG_1486	OLZO01000021	128251	128949	-
OG_1929	OLZO01000021	129302	129640	-
OG_122	OLZO01000021	129600	129701	-
OG_3108	OLZO01000021	129698	130096	-
OG_1790	OLZO01000021	130165	130611	+
OG_1790	OLZO01000021	130568	131305	+
OG_122	OLZO01000021	131302	131913	-
OG_448	OLZO01000021	131915	133057	-
OG_1481	OLZO01000021	133054	133344	-
OG_1928	OLZO01000021	133307	133615	-
OG_1927	OLZO01000021	133646	134203	-
OG_1802	OLZO01000021	134200	134487	-
OG_1487	OLZO01000021	134471	135430	-
OG_1893	OLZO01000021	135430	136863	-
OG_1488	OLZO01000021	136833	137333	-
OG_1789	OLZO01000021	137470	138591	+
OG_1926	OLZO01000021	138593	138925	-
OG_2818	OLZO01000021	138906	139370	-
OG_1892	OLZO01000021	139372	140031	-
OG_1925	OLZO01000021	140036	140317	-
