GeneID	Chr	Start	End	Strand
OG_427	OBWI01000023	358	756	+
OG_427	OBWI01000023	753	1172	+
OG_48	OBWI01000023	1156	3576	+
OG_1592	OBWI01000023	3524	3724	+
OG_2259	OBWI01000023	4338	5357	+
OG_90	OBWI01000023	5426	8257	+
OG_131	OBWI01000023	8257	11316	+
OG_62	OBWI01000023	11309	17950	+
OG_1521	OBWI01000023	17953	18483	+
OG_1591	OBWI01000023	18571	19149	+
OG_130	OBWI01000023	19191	21449	+
OG_4770	OBWI01000023	21673	21870	+
OG_123	OBWI01000023	22203	22811	+
OG_268	OBWI01000023	22994	24001	+
OG_352	OBWI01000023	24025	24438	+
OG_304	OBWI01000023	24495	24983	+
OG_91	OBWI01000023	24991	25359	+
OG_319	OBWI01000023	25453	25746	+
OG_1522	OBWI01000023	26215	26442	+
OG_1523	OBWI01000023	26439	26654	+
OG_473	OBWI01000023	27081	28301	+
OG_1524	OBWI01000023	28339	28644	+
OG_1525	OBWI01000023	28662	29012	+
OG_1037	OBWI01000023	29009	29320	+
OG_1484	OBWI01000023	29359	29682	+
OG_130	OBWI01000023	29824	36246	+
OG_121	OBWI01000023	36461	37078	+
OG_1526	OBWI01000023	37261	37818	+
OG_4085	OBWI01000023	37908	38396	-
OG_1527	OBWI01000023	38398	38631	-
OG_1529	OBWI01000023	38639	38830	-
OG_1530	OBWI01000023	38827	39540	-
OG_1532	OBWI01000023	39533	40075	-
OG_102	OBWI01000023	40072	41220	-
OG_1533	OBWI01000023	41204	41512	-
OG_447	OBWI01000023	41509	42066	-
OG_4306	OBWI01000023	42111	42452	-
OG_1535	OBWI01000023	42430	42735	-
OG_1536	OBWI01000023	42736	43092	-
OG_99	OBWI01000023	43089	44519	-
OG_1537	OBWI01000023	44500	44898	-
OG_1538	OBWI01000023	44910	45218	-
OG_1539	OBWI01000023	45215	45388	-
OG_1485	OBWI01000023	45385	46404	-
OG_1540	OBWI01000023	46401	46760	-
OG_3866	OBWI01000023	46914	48614	-
OG_1541	OBWI01000023	48647	49141	-
OG_1542	OBWI01000023	49131	49382	-
OG_1486	OBWI01000023	49370	50083	-
OG_112	OBWI01000023	50086	50295	-
OG_122	OBWI01000023	50311	50913	-
OG_448	OBWI01000023	50929	52053	-
OG_1481	OBWI01000023	52031	52309	-
OG_1927	OBWI01000023	52362	52928	-
OG_1543	OBWI01000023	52895	53152	-
OG_1544	OBWI01000023	53154	53507	-
OG_1487	OBWI01000023	53485	54498	-
OG_1893	OBWI01000023	54521	55840	-
OG_1488	OBWI01000023	55821	56294	-
OG_1545	OBWI01000023	56294	56524	-
OG_2818	OBWI01000023	56517	56987	-
OG_1546	OBWI01000023	56999	57253	-
OG_1892	OBWI01000023	57328	57996	-
OG_1489	OBWI01000023	57993	58196	-
OG_4086	OBWI01000023	58216	58626	-
OG_1517	OBWI01000023	58643	58903	-
OG_1589	OBWI01000023	58910	59365	-
OG_1590	OBWI01000023	59552	59803	-
OG_1593	OBWI01000023	59811	60008	-
OG_1594	OBWI01000023	60033	60344	-
OG_1547	OBWI01000023	60365	60616	-
OG_109	OBWI01000023	60641	61024	-
OG_1490	OBWI01000023	61334	62134	-
OG_6	OBWI01000023	62147	62983	-
OG_1549	OBWI01000023	62991	63143	-
OG_1519	OBWI01000023	63140	63802	-
OG_1550	OBWI01000023	63821	64483	-
OG_1551	OBWI01000023	64502	64756	-
OG_1553	OBWI01000023	64791	65090	-
OG_1552	OBWI01000023	65093	65287	-
OG_308	OBWI01000023	65284	66018	-
OG_308	OBWI01000023	66023	66763	-
OG_2043	OBWI01000023	66805	67869	-
OG_2988	OBWI01000023	67882	68172	-
OG_2234	OBWI01000023	68181	69077	-
OG_1554	OBWI01000023	69089	69343	-
OG_1493	OBWI01000023	69641	70033	-
OG_53	OBWI01000023	70071	70484	-
OG_1483	OBWI01000023	70628	71437	-
OG_1494	OBWI01000023	71449	71895	-
OG_1555	OBWI01000023	71904	72218	-
OG_1556	OBWI01000023	72250	72531	-
OG_1557	OBWI01000023	72624	72812	-
OG_1558	OBWI01000023	72799	73167	-
OG_108	OBWI01000023	73154	73669	-
OG_1559	OBWI01000023	73666	73917	-
OG_1560	OBWI01000023	73997	74401	-
OG_1561	OBWI01000023	74385	74858	-
OG_1562	OBWI01000023	74860	75141	-
OG_1563	OBWI01000023	75141	75524	-
OG_1564	OBWI01000023	75539	75769	-
OG_1495	OBWI01000023	75750	75998	-
OG_3533	OBWI01000023	76062	76871	-
OG_1498	OBWI01000023	76868	77122	-
OG_1567	OBWI01000023	77242	77475	-
OG_107	OBWI01000023	77651	77965	-
OG_373	OBWI01000023	77974	78321	-
OG_1587	OBWI01000023	78318	78722	-
OG_2233	OBWI01000023	79059	79328	-
OG_1568	OBWI01000023	79842	79934	-
OG_1569	OBWI01000023	80232	80438	-
OG_1570	OBWI01000023	80461	80631	-
OG_1500	OBWI01000023	81213	81752	-
OG_427	OBWI01000023	82432	82824	-
OG_1501	OBWI01000023	82821	83789	-
OG_49	OBWI01000023	83802	84359	-
OG_1571	OBWI01000023	84359	84769	-
OG_155	OBWI01000023	84955	85611	+
OG_1572	OBWI01000023	85642	85911	-
OG_1502	OBWI01000023	85908	86600	-
OG_4752	OBWI01000023	87127	87855	-
OG_211	OBWI01000023	87880	88530	-
OG_1573	OBWI01000023	88533	88781	-
OG_1503	OBWI01000023	88837	89784	-
OG_1504	OBWI01000023	89798	90907	-
OG_1505	OBWI01000023	91006	91539	-
OG_1574	OBWI01000023	91546	91980	-
OG_1575	OBWI01000023	91977	92225	-
OG_1576	OBWI01000023	92230	92532	-
OG_127	OBWI01000023	92529	93401	-
OG_1507	OBWI01000023	93477	93677	-
OG_452	OBWI01000023	93749	94060	-
OG_434	OBWI01000023	94072	95499	-
OG_1577	OBWI01000023	95758	97371	-
OG_83	OBWI01000023	97674	98114	+
OG_1508	OBWI01000023	98101	98550	+
OG_1214	OBWI01000023	98554	99291	+
OG_1509	OBWI01000023	99295	99576	+
OG_1578	OBWI01000023	99563	100084	+
OG_1579	OBWI01000023	100062	100400	+
OG_64	OBWI01000023	100408	103608	+
OG_1789	OBWI01000023	103748	105004	+
OG_47	OBWI01000023	105054	107813	+
OG_106	OBWI01000023	107940	109106	+
OG_1040	OBWI01000023	109129	110829	+
OG_84	OBWI01000023	110906	111991	+
OG_85	OBWI01000023	111998	112672	+
OG_1212	OBWI01000023	112815	114803	+
OG_1510	OBWI01000023	114895	116637	+
OG_1580	OBWI01000023	116649	116933	+
OG_322	OBWI01000023	116933	119023	+
OG_231	OBWI01000023	119025	119297	+
OG_1581	OBWI01000023	119383	119601	+
OG_70	OBWI01000023	119604	120653	+
OG_169	OBWI01000023	120669	121781	+
OG_65	OBWI01000023	121913	122374	+
OG_1511	OBWI01000023	122376	122963	+
OG_1582	OBWI01000023	122960	123412	+
OG_907	OBWI01000023	123496	124374	+
OG_1512	OBWI01000023	124396	124722	+
OG_1513	OBWI01000023	124724	124975	+
OG_86	OBWI01000023	124972	125610	+
OG_103	OBWI01000023	125613	127670	+
OG_124	OBWI01000023	128174	129592	+
OG_1583	OBWI01000023	129651	130004	+
OG_1584	OBWI01000023	129979	130257	+
OG_1514	OBWI01000023	130241	130666	+
OG_87	OBWI01000023	130683	131069	+
OG_88	OBWI01000023	131086	131856	+
OG_100	OBWI01000023	131853	136364	+
OG_1585	OBWI01000023	136497	136619	+
OG_461	OBWI01000023	136682	136849	+
OG_461	OBWI01000023	136919	137098	+
OG_1586	OBWI01000023	137067	137456	+
OG_89	OBWI01000023	137453	138157	+
OG_459	OBWI01000023	138216	138965	-
OG_1231	OBWI01000023	139111	139605	+
OG_123	OBWI01000023	139706	140659	+
OG_581	OBWI01000023	140742	141638	+
OG_1588	OBWI01000023	141635	141802	+
OG_227	OBWI01000023	141804	142532	+
OG_1515	OBWI01000023	142537	143667	+
OG_813	OBWI01000023	143651	144112	+
OG_4674	OBWI01000023	144105	144578	+
OG_1956	OBWI01000023	144582	145325	+
OG_3387	OBWI01000023	145335	145844	+
OG_408	OBWI01000023	145925	152695	+
OG_1790	OBWI01000023	152894	153976	+
