GeneID	Chr	Start	End	Strand
OG_322	OHFX01000006	3	5678	+
OG_70	OHFX01000006	5681	7708	+
OG_124	OHFX01000006	8057	9283	+
OG_187	OHFX01000006	9234	9608	+
OG_422	OHFX01000006	9613	10017	+
OG_37	OHFX01000006	10258	11142	+
OG_1616	OHFX01000006	11210	11683	+
OG_425	OHFX01000006	11781	12143	+
OG_1618	OHFX01000006	12148	12468	+
OG_39	OHFX01000006	12529	15900	+
OG_945	OHFX01000006	15897	16205	+
OG_1209	OHFX01000006	16202	16792	+
OG_10	OHFX01000006	16895	18031	+
OG_1041	OHFX01000006	18042	19463	+
OG_391	OHFX01000006	19543	20445	+
OG_462	OHFX01000006	20474	21442	+
OG_21	OHFX01000006	21451	22626	+
OG_9	OHFX01000006	22692	23363	+
OG_582	OHFX01000006	23363	24049	+
OG_253	OHFX01000006	24055	24792	+
OG_943	OHFX01000006	24789	25229	+
OG_944	OHFX01000006	25233	25808	+
OG_432	OHFX01000006	25811	28984	+
OG_408	OHFX01000006	28987	33621	+
OG_8	OHFX01000006	33618	34796	+
OG_7	OHFX01000006	34793	35374	+
OG_942	OHFX01000006	35493	35798	+
OG_63	OHFX01000006	35866	40683	+
OG_941	OHFX01000006	40680	42596	+
OG_421	OHFX01000006	42600	51761	+
OG_24	OHFX01000006	51763	61635	+
OG_24	OHFX01000006	61628	65011	+
OG_335	OHFX01000006	65013	69638	+
OG_248	OHFX01000006	69701	70387	-
OG_3592	OHFX01000006	70384	70602	-
OG_1656	OHFX01000006	70599	71060	-
OG_3593	OHFX01000006	71044	71250	-
OG_1658	OHFX01000006	71243	71632	-
OG_677	OHFX01000006	71629	72183	-
OG_2699	OHFX01000006	72180	72611	-
OG_674	OHFX01000006	72604	73164	-
OG_3594	OHFX01000006	73184	73636	-
OG_2594	OHFX01000006	73629	74633	-
UG_292	OHFX01000006	74630	75013	-
OG_675	OHFX01000006	75001	76170	-
OG_44	OHFX01000006	76167	76790	-
OG_2569	OHFX01000006	76790	76975	-
OG_908	OHFX01000006	76972	77667	-
OG_3595	OHFX01000006	77664	77906	-
OG_4317	OHFX01000006	77903	78379	-
OG_830	OHFX01000006	78376	78591	-
OG_1825	OHFX01000006	78584	78820	-
OG_2565	OHFX01000006	78817	79203	-
OG_1822	OHFX01000006	79371	80276	-
OG_1205	OHFX01000006	80279	80863	-
OG_3596	OHFX01000006	80844	81095	-
OG_3597	OHFX01000006	81040	81360	-
OG_3552	OHFX01000006	81378	81734	-
OG_312	OHFX01000006	81867	82319	-
OG_305	OHFX01000006	82542	83306	-
OG_312	OHFX01000006	83415	83924	-
OG_3598	OHFX01000006	83921	84349	-
OG_305	OHFX01000006	84612	85352	-
OG_417	OHFX01000006	85534	87489	-
OG_603	OHFX01000006	87489	87719	-
OG_53	OHFX01000006	87866	88504	-
OG_1814	OHFX01000006	88501	88788	-
OG_2519	OHFX01000006	88781	88957	-
OG_105	OHFX01000006	88933	89319	-
OG_1159	OHFX01000006	89319	90233	-
OG_1164	OHFX01000006	90233	90433	-
OG_3599	OHFX01000006	90433	90888	-
OG_3	OHFX01000006	90902	92275	-
OG_3600	OHFX01000006	92272	92568	-
OG_2559	OHFX01000006	92558	92764	-
OG_2558	OHFX01000006	92767	93012	-
OG_38	OHFX01000006	92978	93280	-
OG_2	OHFX01000006	93253	93492	-
OG_245	OHFX01000006	93485	94675	-
OG_211	OHFX01000006	94675	95199	-
OG_2502	OHFX01000006	95180	95452	-
OG_3601	OHFX01000006	95446	95919	-
OG_434	OHFX01000006	95932	97341	-
OG_3602	OHFX01000006	97343	97531	-
OG_433	OHFX01000006	97559	98053	-
OG_36	OHFX01000006	98046	100256	-
OG_1268	OHFX01000006	100333	101109	-
OG_3603	OHFX01000006	101090	101524	-
OG_27	OHFX01000006	101521	103116	-
OG_767	OHFX01000006	103228	103779	-
OG_936	OHFX01000006	104011	104235	-
OG_20	OHFX01000006	104238	104582	-
OG_275	OHFX01000006	104582	105610	-
OG_3604	OHFX01000006	105600	105830	-
OG_472	OHFX01000006	105830	106339	-
OG_2500	OHFX01000006	106358	106570	-
OG_3040	OHFX01000006	106567	107373	-
OG_3605	OHFX01000006	107370	107675	-
OG_1285	OHFX01000006	107672	108592	-
OG_3911	OHFX01000006	108605	109129	-
OG_3911	OHFX01000006	109126	109440	-
OG_3911	OHFX01000006	109447	109833	-
OG_800	OHFX01000006	109830	110000	-
OG_3907	OHFX01000006	110002	110553	-
OG_3606	OHFX01000006	110608	110781	-
OG_932	OHFX01000006	110799	111194	-
OG_323	OHFX01000006	111142	112179	-
OG_57	OHFX01000006	112279	112977	-
OG_931	OHFX01000006	112986	113594	-
OG_1097	OHFX01000006	113596	114294	-
OG_441	OHFX01000006	114294	115394	-
OG_17	OHFX01000006	115391	116011	-
OG_2592	OHFX01000006	116061	116300	-
