GeneID	Chr	Start	End	Strand
OG_253	OLWB01000066	1	726	-
OG_47	OLWB01000066	729	3314	-
OG_64	OLWB01000066	3316	6411	-
OG_1065	OLWB01000066	6413	6604	-
OG_396	OLWB01000066	6674	7204	-
OG_210	OLWB01000066	7205	7546	-
OG_4765	OLWB01000066	7548	7706	-
OG_211	OLWB01000066	7651	8148	-
OG_447	OLWB01000066	8235	8594	-
OG_427	OLWB01000066	8543	9001	-
OG_750	OLWB01000066	8973	9185	-
OG_818	OLWB01000066	9163	9552	-
OG_822	OLWB01000066	9533	9916	-
OG_752	OLWB01000066	9909	10316	-
OG_751	OLWB01000066	10467	10844	-
OG_866	OLWB01000066	10904	11122	-
OG_4685	OLWB01000066	11439	11717	-
OG_3534	OLWB01000066	11976	12560	+
OG_682	OLWB01000066	12736	12951	+
OG_4564	OLWB01000066	13153	13326	+
OG_1070	OLWB01000066	14575	14904	+
OG_1073	OLWB01000066	15152	15400	+
OG_591	OLWB01000066	15586	15852	+
OG_349	OLWB01000066	15874	16374	+
OG_1074	OLWB01000066	16731	17225	+
OG_1075	OLWB01000066	17225	17347	+
OG_1076	OLWB01000066	17528	17749	+
OG_760	OLWB01000066	17933	18295	+
OG_753	OLWB01000066	18330	18728	+
OG_1081	OLWB01000066	19332	19463	+
OG_4565	OLWB01000066	19888	19995	+
OG_1077	OLWB01000066	20008	20385	+
OG_834	OLWB01000066	20387	20578	+
OG_839	OLWB01000066	20563	20997	+
OG_166	OLWB01000066	20994	21500	+
OG_841	OLWB01000066	21558	22124	+
OG_1078	OLWB01000066	22121	22498	+
OG_362	OLWB01000066	22585	23979	+
OG_1079	OLWB01000066	23993	24376	+
OG_1080	OLWB01000066	24873	25004	+
OG_479	OLWB01000066	26816	27355	+
OG_214	OLWB01000066	27361	27852	+
OG_175	OLWB01000066	28151	28654	+
OG_1725	OLWB01000066	28756	30174	+
OG_717	OLWB01000066	30299	32215	+
OG_338	OLWB01000066	32261	32821	+
OG_448	OLWB01000066	32802	33758	+
OG_770	OLWB01000066	33776	34291	+
OG_306	OLWB01000066	34383	35126	+
OG_416	OLWB01000066	35147	35758	+
OG_323	OLWB01000066	36009	36971	+
OG_1205	OLWB01000066	36968	37549	+
OG_1061	OLWB01000066	37521	37712	+
OG_1062	OLWB01000066	37759	37902	+
OG_74	OLWB01000066	37853	38260	+
OG_904	OLWB01000066	38229	38429	+
OG_908	OLWB01000066	38410	39096	+
OG_1403	OLWB01000066	39093	39257	+
OG_275	OLWB01000066	39257	40252	+
OG_1030	OLWB01000066	40246	40719	+
OG_130	OLWB01000066	40775	46150	-
OG_62	OLWB01000066	46153	60420	-
OG_125	OLWB01000066	60424	62259	-
OG_445	OLWB01000066	62262	64136	-
OG_408	OLWB01000066	64138	68250	-
OG_583	OLWB01000066	68250	69194	-
OG_253	OLWB01000066	69154	69855	-
OG_351	OLWB01000066	69836	70294	-
OG_456	OLWB01000066	70281	70937	-
OG_169	OLWB01000066	70949	71605	-
OG_322	OLWB01000066	71608	73335	-
OG_1156	OLWB01000066	73338	73796	-
OG_70	OLWB01000066	73796	74194	-
OG_304	OLWB01000066	74242	74805	-
OG_352	OLWB01000066	74873	75283	-
OG_268	OLWB01000066	75301	76236	-
OG_319	OLWB01000066	76274	77017	-
OG_191	OLWB01000066	77065	77664	-
OG_679	OLWB01000066	77666	77920	-
OG_1082	OLWB01000066	77946	78155	+
OG_169	OLWB01000066	78408	79436	-
OG_1956	OLWB01000066	79457	80206	-
OG_70	OLWB01000066	80208	83282	-
OG_201	OLWB01000066	83284	83688	-
OG_300	OLWB01000066	83693	87862	-
OG_419	OLWB01000066	87864	88163	-
OG_812	OLWB01000066	88138	88407	-
OG_1149	OLWB01000066	88483	89475	-
OG_439	OLWB01000066	89590	90291	-
OG_439	OLWB01000066	90294	90998	-
OG_462	OLWB01000066	91000	91707	-
OG_446	OLWB01000066	91710	92462	-
OG_253	OLWB01000066	92478	93104	-
OG_1038	OLWB01000066	93168	94655	-
OG_106	OLWB01000066	94681	95871	-
OG_229	OLWB01000066	95889	96101	-
OG_288	OLWB01000066	96107	97384	-
OG_599	OLWB01000066	97381	97773	-
OG_253	OLWB01000066	97854	97937	-
