GeneID	Chr	Start	End	Strand
OG_229	OIYV01000031	3	2918	-
OG_408	OIYV01000031	3086	7282	-
OG_583	OIYV01000031	7284	8045	-
OG_351	OIYV01000031	8039	8566	-
OG_456	OIYV01000031	8569	9270	-
OG_162	OIYV01000031	9882	10250	-
OG_595	OIYV01000031	10243	10857	-
OG_1152	OIYV01000031	10946	11917	-
OG_414	OIYV01000031	11968	12684	-
OG_439	OIYV01000031	12702	13442	-
OG_446	OIYV01000031	13514	14566	-
OG_1038	OIYV01000031	14661	16181	-
OG_431	OIYV01000031	16226	17419	-
OG_64	OIYV01000031	17624	19885	-
OG_596	OIYV01000031	19950	20363	-
OG_749	OIYV01000031	20341	20676	-
OG_819	OIYV01000031	20628	21044	-
OG_597	OIYV01000031	21037	21300	-
OG_598	OIYV01000031	21313	21747	-
OG_664	OIYV01000031	21794	21982	-
OG_667	OIYV01000031	21986	22201	-
OG_2065	OIYV01000031	22924	24108	+
OG_191	OIYV01000031	24201	24779	-
OG_1156	OIYV01000031	24979	25446	+
OG_599	OIYV01000031	25455	25838	+
OG_319	OIYV01000031	25909	26229	-
OG_4789	OIYV01000031	26635	26949	+
OG_764	OIYV01000031	27046	27243	+
OG_1467	OIYV01000031	27273	27530	+
OG_160	OIYV01000031	27838	28317	-
UG_334	OIYV01000031	28344	28442	+
UG_335	OIYV01000031	28504	28773	-
OG_4789	OIYV01000031	29448	29768	+
OG_4428	OIYV01000031	30037	30333	+
OG_4754	OIYV01000031	30351	30734	+
OG_4429	OIYV01000031	30731	30934	+
UG_336	OIYV01000031	31433	31762	+
OG_643	OIYV01000031	31938	32321	+
OG_991	OIYV01000031	32318	32524	+
OG_4813	OIYV01000031	32521	32769	+
OG_4430	OIYV01000031	32790	32972	+
OG_3921	OIYV01000031	33211	33399	+
OG_332	OIYV01000031	33534	34094	+
UG_337	OIYV01000031	34245	34352	-
OG_308	OIYV01000031	34381	35331	+
UG_338	OIYV01000031	35328	35558	+
OG_3920	OIYV01000031	35574	35669	+
OG_3324	OIYV01000031	35810	36106	+
OG_4100	OIYV01000031	36122	36295	+
UG_339	OIYV01000031	36311	36457	+
OG_671	OIYV01000031	36420	36623	+
OG_4431	OIYV01000031	36634	36969	+
OG_4432	OIYV01000031	37322	37498	+
OG_4769	OIYV01000031	37501	37932	+
OG_670	OIYV01000031	37929	38156	+
OG_1932	OIYV01000031	38159	38536	+
OG_3803	OIYV01000031	39171	39512	+
OG_4433	OIYV01000031	39530	39772	+
OG_4434	OIYV01000031	40465	40623	+
OG_390	OIYV01000031	40668	41894	+
OG_4435	OIYV01000031	42039	43598	+
OG_4436	OIYV01000031	43599	43934	+
OG_161	OIYV01000031	44077	44631	+
OG_161	OIYV01000031	44618	45232	+
OG_441	OIYV01000031	45235	46338	+
OG_306	OIYV01000031	46442	47260	+
OG_611	OIYV01000031	47313	47744	+
OG_585	OIYV01000031	47802	48737	+
OG_323	OIYV01000031	48768	49772	+
OG_589	OIYV01000031	49786	50544	+
OG_1465	OIYV01000031	50631	51719	+
OG_1099	OIYV01000031	51868	52893	+
OG_1098	OIYV01000031	52897	53949	+
OG_1799	OIYV01000031	53949	54692	+
OG_1096	OIYV01000031	54689	55312	+
OG_3679	OIYV01000031	55412	55771	+
OG_74	OIYV01000031	55794	56213	+
OG_275	OIYV01000031	56321	57364	+
OG_36	OIYV01000031	57486	59639	+
OG_433	OIYV01000031	59633	60109	+
OG_211	OIYV01000031	60241	60786	+
OG_593	OIYV01000031	60909	61358	+
OG_417	OIYV01000031	61355	63523	+
OG_4437	OIYV01000031	63530	64267	+
OG_299	OIYV01000031	64421	64882	+
OG_1544	OIYV01000031	64879	65397	+
OG_601	OIYV01000031	65409	65819	+
OG_1797	OIYV01000031	65899	66042	+
OG_3321	OIYV01000031	66222	66395	+
OG_662	OIYV01000031	66456	66578	+
OG_3118	OIYV01000031	66578	67141	+
OG_62	OIYV01000031	67261	78744	+
OG_209	OIYV01000031	78830	79711	-
UG_340	OIYV01000031	79876	80322	-
OG_407	OIYV01000031	80324	80875	-
OG_47	OIYV01000031	81055	83445	-
OG_319	OIYV01000031	83626	84129	-
OG_278	OIYV01000031	84147	84578	-
OG_425	OIYV01000031	84575	85111	-
OG_37	OIYV01000031	85230	86000	-
OG_225	OIYV01000031	86133	86468	-
OG_1830	OIYV01000031	86468	87043	-
OG_4438	OIYV01000031	87282	88259	+
OG_488	OIYV01000031	88375	88962	-
OG_3266	OIYV01000031	88974	89459	-
OG_12	OIYV01000031	89475	90122	-
OG_291	OIYV01000031	90135	92537	-
OG_3977	OIYV01000031	92556	92933	-
OG_62	OIYV01000031	93087	100145	-
OG_62	OIYV01000031	100374	104330	-
OG_4439	OIYV01000031	104361	105206	-
OG_4789	OIYV01000031	105365	106117	+
OG_4789	OIYV01000031	106209	106658	+
OG_4789	OIYV01000031	106746	108455	+
UG_341	OIYV01000031	108570	109355	+
OG_594	OIYV01000031	109366	110733	-
UG_342	OIYV01000031	110746	111003	-
