GeneID	Chr	Start	End	Strand
OG_110	OJOU01000011	1	885	+
OG_1904	OJOU01000011	890	1249	+
OG_1905	OJOU01000011	1252	1518	+
OG_3074	OJOU01000011	1515	2699	+
OG_1505	OJOU01000011	2701	3285	+
OG_1504	OJOU01000011	3361	4461	+
OG_1503	OJOU01000011	4480	5268	+
OG_148	OJOU01000011	5274	5795	+
OG_1906	OJOU01000011	5792	6052	+
OG_1907	OJOU01000011	6052	6603	+
OG_473	OJOU01000011	6902	8092	+
OG_478	OJOU01000011	8110	8718	+
OG_82	OJOU01000011	8711	9025	+
OG_1901	OJOU01000011	9022	9621	+
OG_1909	OJOU01000011	10222	10512	+
OG_1502	OJOU01000011	10490	11239	+
OG_211	OJOU01000011	11236	11766	+
OG_642	OJOU01000011	11775	11960	+
OG_1910	OJOU01000011	11942	12241	+
OG_105	OJOU01000011	12264	12869	+
OG_1911	OJOU01000011	12895	13173	-
OG_4770	OJOU01000011	13170	13424	-
OG_1912	OJOU01000011	13561	14112	-
OG_1957	OJOU01000011	14322	14519	-
OG_1500	OJOU01000011	14668	15234	+
OG_1913	OJOU01000011	15902	16108	+
OG_883	OJOU01000011	17264	17506	+
OG_1894	OJOU01000011	17494	17790	+
OG_3078	OJOU01000011	17884	18351	+
OG_1565	OJOU01000011	18348	18578	+
OG_1566	OJOU01000011	18598	18822	+
OG_1914	OJOU01000011	18852	19157	+
OG_1498	OJOU01000011	19154	19441	+
OG_1915	OJOU01000011	19414	19767	+
OG_1916	OJOU01000011	19767	20276	+
OG_1495	OJOU01000011	20278	20502	+
OG_96	OJOU01000011	20504	21004	+
OG_1917	OJOU01000011	20985	21227	+
OG_4725	OJOU01000011	21405	21950	+
OG_42	OJOU01000011	21953	22378	+
OG_1918	OJOU01000011	22380	22667	+
OG_1919	OJOU01000011	22681	23070	+
OG_1920	OJOU01000011	23162	23899	+
OG_1922	OJOU01000011	24027	24734	+
OG_1554	OJOU01000011	24764	25000	+
OG_2043	OJOU01000011	25024	26085	+
OG_95	OJOU01000011	26276	26608	+
OG_1923	OJOU01000011	26610	27101	+
OG_1895	OJOU01000011	27082	27381	+
OG_1552	OJOU01000011	27446	27628	+
OG_2261	OJOU01000011	27631	27834	+
OG_2273	OJOU01000011	27874	28008	+
OG_2264	OJOU01000011	28069	28599	+
OG_94	OJOU01000011	28719	29561	+
OG_251	OJOU01000011	29558	30004	+
OG_1896	OJOU01000011	30001	30417	+
OG_329	OJOU01000011	30626	30940	+
OG_329	OJOU01000011	30928	31398	+
OG_1924	OJOU01000011	31402	31677	+
OG_1925	OJOU01000011	31794	32075	+
OG_1892	OJOU01000011	32053	32739	+
OG_2818	OJOU01000011	32741	33205	+
OG_1926	OJOU01000011	33150	33518	+
OG_1488	OJOU01000011	33515	34015	+
OG_1893	OJOU01000011	33985	35418	+
OG_1487	OJOU01000011	35418	36371	+
OG_1802	OJOU01000011	36355	36642	+
OG_1927	OJOU01000011	36639	37184	+
OG_1928	OJOU01000011	37208	37516	+
OG_1481	OJOU01000011	37473	37769	+
OG_448	OJOU01000011	37766	38908	+
OG_122	OJOU01000011	38910	39551	+
OG_1929	OJOU01000011	39511	39852	+
OG_1486	OJOU01000011	39864	40562	+
OG_1542	OJOU01000011	40564	40839	+
OG_1930	OJOU01000011	40840	40938	+
OG_1931	OJOU01000011	40892	41347	+
OG_1485	OJOU01000011	41328	42353	+
OG_1933	OJOU01000011	42420	43016	+
OG_1934	OJOU01000011	43003	43179	+
OG_99	OJOU01000011	43176	45707	+
OG_1501	OJOU01000011	45704	46570	+
OG_3107	OJOU01000011	46572	46931	+
OG_1935	OJOU01000011	46933	47154	+
OG_2265	OJOU01000011	47170	47451	+
OG_447	OJOU01000011	47448	48071	+
OG_1520	OJOU01000011	48047	48373	+
OG_1936	OJOU01000011	48375	48650	+
OG_1515	OJOU01000011	48655	49800	+
OG_1937	OJOU01000011	49807	50139	+
OG_1938	OJOU01000011	50136	50282	+
OG_1939	OJOU01000011	50475	50861	+
OG_3410	OJOU01000011	50883	51092	+
OG_102	OJOU01000011	51105	51281	+
OG_102	OJOU01000011	51312	52121	+
OG_2280	OJOU01000011	52146	52373	+
OG_1940	OJOU01000011	52321	52884	+
OG_1941	OJOU01000011	52881	53300	+
OG_4781	OJOU01000011	53254	53460	+
OG_1943	OJOU01000011	53575	53784	+
OG_4779	OJOU01000011	53781	54023	+
OG_1787	OJOU01000011	54016	54387	+
OG_147	OJOU01000011	54641	55225	+
OG_1944	OJOU01000011	55222	55335	+
OG_1489	OJOU01000011	55328	55558	+
OG_1945	OJOU01000011	55562	56032	+
OG_1946	OJOU01000011	56008	56538	+
OG_2266	OJOU01000011	56535	56690	+
OG_3106	OJOU01000011	56878	57114	+
OG_2267	OJOU01000011	57107	57547	+
OG_1777	OJOU01000011	57560	57838	+
OG_200	OJOU01000011	57835	58242	+
OG_2276	OJOU01000011	58263	58451	+
OG_2275	OJOU01000011	58467	58682	+
OG_123	OJOU01000011	58717	59592	-
OG_130	OJOU01000011	59780	66226	-
OG_427	OJOU01000011	66428	66715	-
OG_92	OJOU01000011	66712	66990	-
OG_426	OJOU01000011	67124	68125	-
OG_426	OJOU01000011	68224	68883	-
OG_169	OJOU01000011	68970	70019	-
OG_70	OJOU01000011	70030	72057	-
OG_1484	OJOU01000011	72135	72464	-
OG_319	OJOU01000011	72703	72996	-
OG_91	OJOU01000011	73090	73458	-
OG_304	OJOU01000011	73460	73957	-
OG_352	OJOU01000011	74011	74427	-
OG_268	OJOU01000011	74451	75458	-
OG_130	OJOU01000011	75707	77944	-
OG_123	OJOU01000011	78118	78489	-
OG_123	OJOU01000011	78496	78966	-
OG_1947	OJOU01000011	79142	79768	-
OG_62	OJOU01000011	79854	84710	-
OG_131	OJOU01000011	84688	87708	-
OG_90	OJOU01000011	87712	90432	-
OG_334	OJOU01000011	90546	90971	-
OG_79	OJOU01000011	90958	91503	-
OG_471	OJOU01000011	91568	94168	-
OG_2258	OJOU01000011	94257	94433	-
OG_408	OJOU01000011	94465	100983	-
OG_1790	OJOU01000011	101105	102244	-
OG_1948	OJOU01000011	102413	102913	-
OG_227	OJOU01000011	103056	103775	-
OG_581	OJOU01000011	103790	104674	-
OG_1231	OJOU01000011	104767	105174	-
OG_100	OJOU01000011	105219	105674	+
OG_4770	OJOU01000011	105709	105831	-
OG_4770	OJOU01000011	105789	105980	-
OG_89	OJOU01000011	105982	106677	-
OG_100	OJOU01000011	107343	111809	-
OG_88	OJOU01000011	111811	112614	-
OG_87	OJOU01000011	112616	112930	-
OG_1514	OJOU01000011	112923	113342	-
OG_1949	OJOU01000011	113344	113577	-
OG_1950	OJOU01000011	113577	114044	-
OG_459	OJOU01000011	114110	114853	-
OG_86	OJOU01000011	115061	115906	-
OG_463	OJOU01000011	115947	116642	-
OG_1951	OJOU01000011	116786	117046	-
OG_1513	OJOU01000011	117043	117285	-
OG_1512	OJOU01000011	117257	117610	-
OG_907	OJOU01000011	117627	118505	-
OG_3037	OJOU01000011	118556	119080	-
OG_2260	OJOU01000011	119080	120027	-
OG_3036	OJOU01000011	120907	121563	-
OG_1952	OJOU01000011	121560	122063	-
OG_1511	OJOU01000011	122038	122586	-
OG_65	OJOU01000011	122645	123418	-
OG_3083	OJOU01000011	123587	123712	-
OG_4777	OJOU01000011	123844	125220	-
OG_4776	OJOU01000011	125213	126829	-
OG_4775	OJOU01000011	126826	128391	-
OG_104	OJOU01000011	128396	130795	-
OG_1510	OJOU01000011	130801	133137	-
OG_1212	OJOU01000011	133236	135209	-
OG_85	OJOU01000011	135382	136062	-
OG_84	OJOU01000011	136059	137120	-
OG_1040	OJOU01000011	137205	138908	-
OG_106	OJOU01000011	138927	140081	-
OG_47	OJOU01000011	140217	142979	-
OG_64	OJOU01000011	143030	145819	-
OG_1902	OJOU01000011	145816	146136	-
OG_1903	OJOU01000011	146105	146659	-
OG_1509	OJOU01000011	146656	146904	-
OG_1214	OJOU01000011	146909	147607	-
OG_1508	OJOU01000011	147609	148049	-
OG_83	OJOU01000011	148042	148455	-
OG_2259	OJOU01000011	149280	150320	+
OG_1789	OJOU01000011	150459	151646	+
OG_434	OJOU01000011	151690	153099	+
OG_110	OJOU01000011	153099	153254	+
