GeneID	Chr	Start	End	Strand
OG_1913	OFPS01000054	827	1033	-
OG_1500	OFPS01000054	1699	2235	-
OG_1957	OFPS01000054	2397	2591	+
UG_218	OFPS01000054	2742	3614	+
OG_1912	OFPS01000054	3896	4459	+
OG_457	OFPS01000054	4747	5022	-
OG_457	OFPS01000054	5318	5497	-
OG_4770	OFPS01000054	5746	6000	+
OG_1911	OFPS01000054	5997	6275	+
OG_105	OFPS01000054	6301	6906	-
OG_1910	OFPS01000054	6928	7197	-
OG_211	OFPS01000054	7200	7715	-
OG_1502	OFPS01000054	7712	8461	-
OG_1909	OFPS01000054	8439	8726	-
OG_1901	OFPS01000054	9196	9795	-
OG_82	OFPS01000054	9795	10106	-
OG_478	OFPS01000054	10099	10701	-
OG_1907	OFPS01000054	10673	11221	-
OG_1906	OFPS01000054	11221	11478	-
OG_1503	OFPS01000054	11505	12329	-
OG_1504	OFPS01000054	12348	13448	-
OG_1505	OFPS01000054	13524	14108	-
OG_1905	OFPS01000054	14105	14371	-
OG_1904	OFPS01000054	14374	14733	-
OG_110	OFPS01000054	14736	15722	-
OG_434	OFPS01000054	15722	17131	-
OG_2259	OFPS01000054	17235	18284	-
OG_83	OFPS01000054	19090	19503	+
OG_1508	OFPS01000054	19496	19936	+
OG_1214	OFPS01000054	19938	20636	+
OG_1509	OFPS01000054	20641	20889	+
OG_1903	OFPS01000054	20873	21433	+
OG_1902	OFPS01000054	21402	21722	+
OG_64	OFPS01000054	21719	25645	+
OG_47	OFPS01000054	25696	28458	+
OG_106	OFPS01000054	28593	29750	+
OG_1040	OFPS01000054	29769	31472	+
OG_84	OFPS01000054	31559	32623	+
OG_85	OFPS01000054	32626	33300	+
OG_1212	OFPS01000054	33473	35446	+
OG_1510	OFPS01000054	35545	37878	+
OG_104	OFPS01000054	37890	40283	+
OG_4775	OFPS01000054	40285	41847	+
OG_4776	OFPS01000054	41844	43460	+
OG_4777	OFPS01000054	43453	44829	+
OG_65	OFPS01000054	45142	46026	+
OG_1511	OFPS01000054	46085	46633	+
OG_1952	OFPS01000054	46608	47114	+
