GeneID	Chr	Start	End	Strand
OG_333	OLSD01000074	1	399	-
OG_417	OLSD01000074	451	2052	-
OG_593	OLSD01000074	2049	2543	-
OG_211	OLSD01000074	2579	3049	-
OG_2022	OLSD01000074	3046	3264	-
OG_433	OLSD01000074	3493	3981	-
OG_36	OLSD01000074	3978	6143	-
OG_275	OLSD01000074	6136	7167	-
OG_423	OLSD01000074	7170	7442	-
OG_74	OLSD01000074	7439	7858	-
OG_658	OLSD01000074	7851	8408	-
OG_1096	OLSD01000074	8423	9067	-
OG_600	OLSD01000074	9058	9819	-
OG_1098	OLSD01000074	9822	10781	-
OG_1099	OLSD01000074	10778	11923	-
OG_1465	OLSD01000074	11865	13040	-
OG_589	OLSD01000074	13099	13761	-
OG_323	OLSD01000074	13776	14753	-
OG_585	OLSD01000074	14781	15725	-
OG_611	OLSD01000074	15756	16145	-
OG_1097	OLSD01000074	16158	16901	-
OG_441	OLSD01000074	16915	18081	-
OG_161	OLSD01000074	18083	18688	-
OG_390	OLSD01000074	18685	19932	-
OG_2572	OLSD01000074	19913	21070	-
UG_505	OLSD01000074	21152	21457	-
OG_1208	OLSD01000074	21459	22241	-
OG_450	OLSD01000074	22234	22437	-
OG_607	OLSD01000074	22437	22808	-
OG_915	OLSD01000074	22808	23191	-
OG_418	OLSD01000074	23847	24020	-
OG_3653	OLSD01000074	24041	24328	-
UG_506	OLSD01000074	24378	24602	-
OG_2659	OLSD01000074	24908	25060	-
OG_762	OLSD01000074	25331	25603	-
OG_32	OLSD01000074	25614	27002	-
OG_957	OLSD01000074	27016	27261	-
OG_2232	OLSD01000074	27258	28667	-
OG_3654	OLSD01000074	28817	29224	-
OG_3451	OLSD01000074	29471	29860	-
OG_3655	OLSD01000074	29850	30083	-
OG_3656	OLSD01000074	30419	30733	-
OG_3148	OLSD01000074	31005	31151	-
UG_507	OLSD01000074	31214	31357	-
OG_3163	OLSD01000074	31733	32023	-
OG_165	OLSD01000074	33266	33580	+
OG_813	OLSD01000074	33610	33975	+
OG_155	OLSD01000074	33972	34562	+
OG_155	OLSD01000074	34582	35193	+
OG_209	OLSD01000074	35195	35338	+
OG_793	OLSD01000074	35396	35632	+
OG_673	OLSD01000074	36833	37291	+
OG_664	OLSD01000074	37880	38035	+
OG_1158	OLSD01000074	38047	38313	+
OG_598	OLSD01000074	38310	38525	+
OG_597	OLSD01000074	38525	38821	+
OG_819	OLSD01000074	38824	39201	+
OG_749	OLSD01000074	39201	39476	+
OG_596	OLSD01000074	39469	39915	+
OG_407	OLSD01000074	39957	40511	+
OG_3651	OLSD01000074	40527	40838	+
OG_64	OLSD01000074	40819	44169	+
OG_47	OLSD01000074	44250	46673	+
OG_291	OLSD01000074	46682	47893	+
OG_300	OLSD01000074	47893	48339	+
OG_4816	OLSD01000074	48336	48494	+
OG_155	OLSD01000074	48545	50095	+
OG_100	OLSD01000074	50162	51826	+
OG_191	OLSD01000074	51927	52547	+
OG_252	OLSD01000074	52547	52936	+
OG_1156	OLSD01000074	52899	53357	+
UG_508	OLSD01000074	53360	53512	+
OG_376	OLSD01000074	53678	54823	+
OG_1038	OLSD01000074	54862	56376	+
OG_446	OLSD01000074	56431	57420	+
OG_414	OLSD01000074	57422	58096	+
OG_1152	OLSD01000074	58127	59140	+
OG_595	OLSD01000074	59195	59755	+
OG_162	OLSD01000074	59718	60146	+
OG_393	OLSD01000074	60246	60947	+
OG_351	OLSD01000074	60947	61504	+
OG_253	OLSD01000074	61488	62276	+
OG_583	OLSD01000074	62254	62979	+
OG_408	OLSD01000074	62981	68638	+
OG_229	OLSD01000074	68742	71015	+
OG_594	OLSD01000074	71015	72832	+
OG_62	OLSD01000074	72845	78151	+
OG_62	OLSD01000074	78208	82287	-
OG_62	OLSD01000074	82289	92566	-
OG_194	OLSD01000074	92749	93381	-
OG_312	OLSD01000074	93399	94241	-
OG_1274	OLSD01000074	94228	94914	-
OG_1205	OLSD01000074	94911	95492	-
OG_603	OLSD01000074	95492	95734	-
OG_603	OLSD01000074	95731	95919	-
OG_967	OLSD01000074	95916	96605	-
OG_299	OLSD01000074	96598	96879	-
OG_3652	OLSD01000074	96881	97183	-
OG_417	OLSD01000074	97308	97958	-
UG_509	OLSD01000074	98276	98557	-
