GeneID	Chr	Start	End	Strand
OG_64	OLOZ01000093	3	1589	+
OG_47	OLOZ01000093	1592	4099	+
OG_813	OLOZ01000093	4102	4566	+
OG_288	OLOZ01000093	4646	6055	+
OG_899	OLOZ01000093	6052	6465	+
OG_106	OLOZ01000093	6478	7641	+
OG_1038	OLOZ01000093	7677	9149	+
OG_446	OLOZ01000093	9224	9976	+
OG_462	OLOZ01000093	9976	10686	+
OG_439	OLOZ01000093	10689	11357	+
OG_1149	OLOZ01000093	11455	12429	+
OG_812	OLOZ01000093	12530	13228	+
OG_300	OLOZ01000093	13240	16533	+
OG_318	OLOZ01000093	16544	16948	+
OG_291	OLOZ01000093	16932	20381	+
OG_100	OLOZ01000093	20374	22554	+
OG_173	OLOZ01000093	22572	22742	+
OG_65	OLOZ01000093	22717	23163	+
OG_70	OLOZ01000093	23167	24051	+
OG_291	OLOZ01000093	24057	24677	+
OG_227	OLOZ01000093	24677	25756	+
OG_70	OLOZ01000093	25855	28389	+
OG_124	OLOZ01000093	28652	29674	+
OG_679	OLOZ01000093	29789	30298	+
OG_191	OLOZ01000093	30270	30911	+
OG_304	OLOZ01000093	30982	31182	+
OG_317	OLOZ01000093	31320	31898	+
OG_456	OLOZ01000093	31888	32532	+
OG_351	OLOZ01000093	32540	32989	+
OG_583	OLOZ01000093	32986	33927	+
OG_408	OLOZ01000093	33924	38096	+
OG_445	OLOZ01000093	38098	39918	+
OG_125	OLOZ01000093	39908	42031	+
OG_62	OLOZ01000093	42036	58547	+
OG_62	OLOZ01000093	58551	63335	+
OG_1030	OLOZ01000093	63410	63853	-
OG_275	OLOZ01000093	63870	64847	-
OG_908	OLOZ01000093	64837	65499	-
OG_74	OLOZ01000093	65548	65931	-
OG_2744	OLOZ01000093	65931	66206	-
OG_323	OLOZ01000093	66190	67158	-
OG_416	OLOZ01000093	67381	68010	-
OG_306	OLOZ01000093	68027	68767	-
OG_770	OLOZ01000093	68842	69357	-
OG_448	OLOZ01000093	69372	70352	-
OG_338	OLOZ01000093	70333	70902	-
OG_717	OLOZ01000093	70960	72939	-
OG_1724	OLOZ01000093	73073	73864	-
OG_175	OLOZ01000093	73925	74452	-
OG_234	OLOZ01000093	74678	75877	-
OG_3724	OLOZ01000093	76818	76958	+
OG_845	OLOZ01000093	77963	78361	-
OG_184	OLOZ01000093	78378	78779	-
OG_362	OLOZ01000093	78851	80353	-
OG_846	OLOZ01000093	80443	80817	-
OG_841	OLOZ01000093	80833	81393	-
OG_758	OLOZ01000093	81442	81834	-
OG_840	OLOZ01000093	81785	82282	-
OG_835	OLOZ01000093	82279	82464	-
OG_754	OLOZ01000093	82455	82733	-
OG_753	OLOZ01000093	83503	83955	-
OG_888	OLOZ01000093	84009	84230	-
OG_3756	OLOZ01000093	84242	84559	-
OG_203	OLOZ01000093	84805	84951	-
OG_283	OLOZ01000093	85024	85509	-
OG_848	OLOZ01000093	85527	85790	-
OG_1810	OLOZ01000093	85772	86014	-
OG_349	OLOZ01000093	86422	86886	-
OG_250	OLOZ01000093	86912	87280	-
OG_171	OLOZ01000093	87300	87605	-
OG_587	OLOZ01000093	88263	88454	-
OG_3530	OLOZ01000093	89845	90300	-
OG_887	OLOZ01000093	90481	90954	+
OG_886	OLOZ01000093	90926	91150	+
OG_312	OLOZ01000093	91147	92025	+
OG_253	OLOZ01000093	92012	92734	+
OG_865	OLOZ01000093	92894	93085	+
OG_447	OLOZ01000093	93082	93396	+
OG_866	OLOZ01000093	93383	93592	+
OG_751	OLOZ01000093	93625	93984	+
OG_752	OLOZ01000093	94130	94507	+
OG_822	OLOZ01000093	94500	94877	+
OG_818	OLOZ01000093	94867	95250	+
OG_750	OLOZ01000093	95222	95431	+
OG_427	OLOZ01000093	95397	95834	+
OG_276	OLOZ01000093	95824	96204	+
OG_879	OLOZ01000093	96158	96259	+
OG_210	OLOZ01000093	96265	96627	+
OG_849	OLOZ01000093	96575	96943	+
OG_396	OLOZ01000093	96930	97460	+
OG_215	OLOZ01000093	97518	97655	+
OG_253	OLOZ01000093	97802	98632	+
OG_221	OLOZ01000093	98899	99057	+
OG_64	OLOZ01000093	99066	99611	+
