GeneID	Chr	Start	End	Strand
OG_887	OJAG01000039	1	348	-
OG_301	OJAG01000039	629	1213	+
OG_3400	OJAG01000039	1545	1859	+
OG_938	OJAG01000039	2120	2350	+
OG_3401	OJAG01000039	2331	2438	+
OG_3799	OJAG01000039	3104	3334	+
OG_587	OJAG01000039	3354	3797	+
OG_755	OJAG01000039	4286	4585	+
OG_212	OJAG01000039	4573	4836	+
OG_349	OJAG01000039	4954	5406	+
OG_309	OJAG01000039	5850	6083	+
OG_873	OJAG01000039	6080	6307	+
OG_874	OJAG01000039	6332	6730	+
OG_1774	OJAG01000039	6730	6855	+
OG_3014	OJAG01000039	6818	7027	+
OG_832	OJAG01000039	7622	8116	+
OG_833	OJAG01000039	8129	8374	+
OG_754	OJAG01000039	8349	8630	+
OG_836	OJAG01000039	8627	8812	+
OG_840	OJAG01000039	8813	9271	+
OG_761	OJAG01000039	9278	9760	+
OG_841	OJAG01000039	9820	10368	+
OG_842	OJAG01000039	10385	10750	+
OG_267	OJAG01000039	10833	12215	+
OG_197	OJAG01000039	12221	12604	+
OG_287	OJAG01000039	14807	15364	+
OG_214	OJAG01000039	15380	15913	+
OG_175	OJAG01000039	16272	16793	+
OG_875	OJAG01000039	16938	17612	+
OG_232	OJAG01000039	17612	17881	+
OG_717	OJAG01000039	17936	19870	+
OG_338	OJAG01000039	19925	20485	+
OG_448	OJAG01000039	20466	21449	+
OG_770	OJAG01000039	21446	21994	+
OG_306	OJAG01000039	22078	22818	+
OG_416	OJAG01000039	22831	23442	+
OG_269	OJAG01000039	23557	24708	+
OG_168	OJAG01000039	24705	25508	+
OG_323	OJAG01000039	25908	26915	+
OG_4304	OJAG01000039	26873	27007	+
OG_74	OJAG01000039	26952	27347	+
OG_32	OJAG01000039	27354	28256	+
OG_908	OJAG01000039	28294	29193	+
OG_275	OJAG01000039	29180	30169	+
OG_876	OJAG01000039	30141	30269	+
OG_877	OJAG01000039	30250	30627	+
OG_130	OJAG01000039	30681	35594	-
OG_62	OJAG01000039	35597	49381	-
OG_125	OJAG01000039	49391	50965	-
OG_445	OJAG01000039	50965	52812	-
OG_408	OJAG01000039	52814	56986	-
OG_583	OJAG01000039	56983	57897	-
OG_351	OJAG01000039	57909	58370	-
OG_456	OJAG01000039	58367	59011	-
OG_304	OJAG01000039	59151	59714	-
OG_352	OJAG01000039	59758	60198	-
OG_268	OJAG01000039	60216	61139	-
OG_319	OJAG01000039	61169	61804	-
OG_191	OJAG01000039	61841	62479	-
OG_679	OJAG01000039	62451	62972	-
OG_124	OJAG01000039	63092	64114	-
OG_70	OJAG01000039	64374	66923	-
OG_70	OJAG01000039	67006	67911	-
OG_65	OJAG01000039	67915	68358	-
OG_173	OJAG01000039	68336	68506	-
OG_100	OJAG01000039	68524	70719	-
OG_291	OJAG01000039	70712	74494	-
OG_318	OJAG01000039	74478	74882	-
OG_300	OJAG01000039	74893	78186	-
OG_812	OJAG01000039	78198	78896	-
OG_1149	OJAG01000039	78998	79972	-
OG_439	OJAG01000039	80071	80739	-
OG_462	OJAG01000039	80742	81452	-
OG_446	OJAG01000039	81452	82204	-
OG_1038	OJAG01000039	82284	83153	-
OG_4501	OJAG01000039	83207	83470	+
OG_317	OJAG01000039	83473	84114	-
OG_1038	OJAG01000039	84214	84585	-
OG_317	OJAG01000039	84606	85184	-
OG_106	OJAG01000039	85199	86392	-
OG_229	OJAG01000039	86411	86617	-
OG_899	OJAG01000039	86583	86939	-
OG_288	OJAG01000039	86941	87162	-
OG_288	OJAG01000039	87149	88078	-
OG_813	OJAG01000039	88158	88622	-
OG_47	OJAG01000039	88625	91135	-
OG_64	OJAG01000039	91142	94225	-
OG_3704	OJAG01000039	94466	94612	-
OG_878	OJAG01000039	94791	94943	-
OG_396	OJAG01000039	94999	95544	-
OG_210	OJAG01000039	95557	95901	-
OG_447	OJAG01000039	96001	96744	-
OG_427	OJAG01000039	96725	97165	-
OG_880	OJAG01000039	97143	97418	-
OG_750	OJAG01000039	97372	97581	-
OG_818	OJAG01000039	97565	97993	-
OG_822	OJAG01000039	97995	98366	-
OG_752	OJAG01000039	98359	98766	-
OG_751	OJAG01000039	98933	99286	-
OG_866	OJAG01000039	99315	99524	-
OG_865	OJAG01000039	99537	99737	-
OG_4305	OJAG01000039	99908	100162	-
OG_312	OJAG01000039	100159	101043	-
OG_887	OJAG01000039	101045	101194	-
