GeneID	Chr	Start	End	Strand
OG_416	MN037_S1_79	3	314	-
OG_306	MN037_S1_79	331	741	-
OG_305	MN037_S1_79	851	1474	-
OG_306	MN037_S1_79	1590	1907	-
OG_770	MN037_S1_79	1992	2522	-
OG_448	MN037_S1_79	2527	3480	-
OG_338	MN037_S1_79	3461	4024	-
OG_717	MN037_S1_79	4078	6012	-
OG_232	MN037_S1_79	6177	6461	-
OG_875	MN037_S1_79	6400	7068	-
OG_175	MN037_S1_79	7154	7681	-
OG_214	MN037_S1_79	8119	8640	-
OG_479	MN037_S1_79	8654	9211	-
OG_197	MN037_S1_79	11265	11732	-
OG_362	MN037_S1_79	11738	13120	-
OG_842	MN037_S1_79	13179	13538	-
OG_841	MN037_S1_79	13555	14103	-
OG_761	MN037_S1_79	14160	14642	-
OG_840	MN037_S1_79	14642	15100	-
OG_834	MN037_S1_79	15103	15294	-
OG_754	MN037_S1_79	15285	15566	-
OG_833	MN037_S1_79	15541	15786	-
OG_2040	MN037_S1_79	15990	16082	-
OG_1774	MN037_S1_79	16621	16749	-
OG_874	MN037_S1_79	16751	17146	-
OG_309	MN037_S1_79	17174	17443	-
OG_349	MN037_S1_79	17812	18261	-
OG_171	MN037_S1_79	18306	18623	-
OG_870	MN037_S1_79	18990	20147	-
OG_871	MN037_S1_79	20250	20573	-
OG_3509	MN037_S1_79	21487	21645	-
OG_301	MN037_S1_79	22140	22733	-
OG_887	MN037_S1_79	22950	23393	+
OG_312	MN037_S1_79	23395	24219	+
OG_865	MN037_S1_79	24436	24636	+
OG_881	MN037_S1_79	24636	24758	+
OG_866	MN037_S1_79	24721	24891	+
OG_751	MN037_S1_79	24905	25276	+
OG_752	MN037_S1_79	25428	25847	+
OG_822	MN037_S1_79	25840	26211	+
OG_818	MN037_S1_79	26213	26644	+
OG_750	MN037_S1_79	26613	26822	+
OG_880	MN037_S1_79	26791	27060	+
OG_427	MN037_S1_79	27044	27478	+
OG_276	MN037_S1_79	27471	27743	+
OG_447	MN037_S1_79	27733	28170	+
OG_849	MN037_S1_79	28270	28608	+
OG_396	MN037_S1_79	28623	29162	+
OG_878	MN037_S1_79	29219	29377	+
OG_64	MN037_S1_79	29785	31830	+
OG_47	MN037_S1_79	31837	34368	+
OG_813	MN037_S1_79	34505	34732	+
OG_288	MN037_S1_79	34805	38062	+
OG_899	MN037_S1_79	38065	38415	+
OG_229	MN037_S1_79	38393	38596	+
OG_106	MN037_S1_79	38615	39808	+
OG_1038	MN037_S1_79	39848	41311	+
OG_253	MN037_S1_79	41390	41995	+
OG_446	MN037_S1_79	42059	42811	+
OG_462	MN037_S1_79	42811	43506	+
OG_439	MN037_S1_79	43526	44263	+
OG_439	MN037_S1_79	44266	44985	+
OG_1149	MN037_S1_79	45086	46060	+
OG_812	MN037_S1_79	46138	46755	+
OG_419	MN037_S1_79	46749	47060	+
OG_300	MN037_S1_79	47060	49831	+
OG_378	MN037_S1_79	49873	50166	+
OG_291	MN037_S1_79	50163	53777	+
OG_291	MN037_S1_79	53780	55183	+
OG_742	MN037_S1_79	55195	55653	+
OG_1775	MN037_S1_79	55658	56047	+
OG_173	MN037_S1_79	56077	56250	+
OG_1156	MN037_S1_79	56273	56776	+
OG_70	MN037_S1_79	56827	57288	+
OG_336	MN037_S1_79	57301	57921	+
OG_70	MN037_S1_79	58391	60037	+
OG_679	MN037_S1_79	60235	60723	+
OG_191	MN037_S1_79	60680	61336	+
OG_319	MN037_S1_79	61368	61973	+
OG_268	MN037_S1_79	62004	62903	+
OG_352	MN037_S1_79	62918	63346	+
OG_304	MN037_S1_79	63392	63952	+
OG_456	MN037_S1_79	64089	64733	+
OG_351	MN037_S1_79	64730	65191	+
OG_583	MN037_S1_79	65209	66120	+
OG_408	MN037_S1_79	66117	70247	+
OG_445	MN037_S1_79	70249	72291	+
OG_125	MN037_S1_79	72293	74017	+
OG_62	MN037_S1_79	74025	87533	+
OG_130	MN037_S1_79	87536	92437	+
OG_877	MN037_S1_79	92454	92879	-
OG_876	MN037_S1_79	92876	93043	-
OG_275	MN037_S1_79	93015	94001	-
OG_1772	MN037_S1_79	94115	94390	-
OG_908	MN037_S1_79	94362	95129	-
OG_32	MN037_S1_79	95175	96080	-
OG_323	MN037_S1_79	96427	97446	-
OG_168	MN037_S1_79	97794	98705	-
OG_269	MN037_S1_79	98707	99894	-
OG_416	MN037_S1_79	100010	100384	-
