GeneID	Chr	Start	End	Strand
OG_3661	OBKV01000026	81	1394	-
OG_317	OBKV01000026	1395	1976	-
OG_253	OBKV01000026	2433	3224	-
OG_36	OBKV01000026	3370	5286	-
UG_71	OBKV01000026	5273	5851	-
OG_767	OBKV01000026	5826	6386	-
OG_275	OBKV01000026	6346	7401	-
OG_447	OBKV01000026	7401	8168	-
UG_72	OBKV01000026	8209	8478	-
OG_932	OBKV01000026	8456	8824	-
OG_323	OBKV01000026	8776	9801	-
OG_57	OBKV01000026	9824	10504	-
OG_931	OBKV01000026	10511	10867	-
OG_306	OBKV01000026	10867	11331	-
OG_333	OBKV01000026	11691	12485	-
OG_306	OBKV01000026	12599	12697	-
OG_441	OBKV01000026	12703	13833	-
OG_17	OBKV01000026	13826	14431	-
OG_218	OBKV01000026	14440	15660	-
UG_73	OBKV01000026	15660	16004	-
OG_717	OBKV01000026	16091	17977	-
OG_930	OBKV01000026	17979	18818	-
OG_929	OBKV01000026	18820	19140	-
OG_928	OBKV01000026	19140	19499	-
OG_927	OBKV01000026	19478	19933	-
OG_11	OBKV01000026	19933	20295	-
OG_632	OBKV01000026	20380	20988	-
OG_68	OBKV01000026	20988	22592	-
UG_74	OBKV01000026	22582	22845	-
UG_75	OBKV01000026	22848	23093	-
UG_76	OBKV01000026	23096	23368	-
UG_77	OBKV01000026	23371	23676	-
OG_32	OBKV01000026	23679	24773	-
OG_1282	OBKV01000026	24748	25206	-
UG_78	OBKV01000026	25267	25407	-
UG_79	OBKV01000026	25392	25637	-
UG_80	OBKV01000026	25788	26060	-
UG_81	OBKV01000026	26307	26507	-
UG_82	OBKV01000026	26491	26688	-
UG_83	OBKV01000026	26899	27105	-
UG_84	OBKV01000026	27089	27565	-
OG_1549	OBKV01000026	27681	28145	-
OG_923	OBKV01000026	28145	29170	-
OG_1332	OBKV01000026	29155	29451	-
UG_85	OBKV01000026	29423	29602	-
OG_2708	OBKV01000026	29589	29795	-
OG_1274	OBKV01000026	29788	30513	-
UG_86	OBKV01000026	30703	30936	-
UG_87	OBKV01000026	31342	31572	-
UG_88	OBKV01000026	31651	31824	-
UG_89	OBKV01000026	31817	31993	-
UG_90	OBKV01000026	32002	32187	-
UG_91	OBKV01000026	32188	32373	-
UG_92	OBKV01000026	32357	32992	-
UG_93	OBKV01000026	32985	33680	-
UG_94	OBKV01000026	33707	34066	-
UG_95	OBKV01000026	34146	34337	-
