GeneID	Chr	Start	End	Strand
OG_818	OEIM01000003	3	77	+
OG_750	OEIM01000003	61	270	+
OG_880	OEIM01000003	224	499	+
OG_427	OEIM01000003	477	917	+
OG_447	OEIM01000003	898	1641	+
OG_396	OEIM01000003	1741	2286	+
OG_878	OEIM01000003	2342	2494	+
OG_64	OEIM01000003	2978	6061	+
OG_317	OEIM01000003	6068	6568	+
OG_47	OEIM01000003	6565	9087	+
OG_813	OEIM01000003	9090	9554	+
OG_288	OEIM01000003	9634	10785	+
OG_884	OEIM01000003	10769	11044	+
OG_106	OEIM01000003	11070	12287	+
OG_1038	OEIM01000003	12328	13791	+
OG_253	OEIM01000003	13887	14876	+
OG_446	OEIM01000003	14909	15661	+
OG_462	OEIM01000003	15661	16371	+
OG_439	OEIM01000003	16374	17042	+
OG_1149	OEIM01000003	17140	18114	+
OG_812	OEIM01000003	18215	18913	+
OG_300	OEIM01000003	18925	22176	+
OG_318	OEIM01000003	22182	22586	+
OG_291	OEIM01000003	22570	25524	+
OG_100	OEIM01000003	25517	27805	+
OG_173	OEIM01000003	27805	27996	+
OG_65	OEIM01000003	27971	28417	+
OG_70	OEIM01000003	28421	29437	+
OG_227	OEIM01000003	29437	30516	+
OG_70	OEIM01000003	30615	33185	+
OG_124	OEIM01000003	33446	34468	+
OG_679	OEIM01000003	34583	35092	+
OG_191	OEIM01000003	35064	35702	+
OG_319	OEIM01000003	35738	36373	+
OG_268	OEIM01000003	36403	37326	+
OG_352	OEIM01000003	37344	37784	+
OG_304	OEIM01000003	37831	38394	+
OG_456	OEIM01000003	38532	39176	+
OG_351	OEIM01000003	39173	39634	+
OG_253	OEIM01000003	39621	40478	+
OG_583	OEIM01000003	40483	41409	+
OG_408	OEIM01000003	41406	45578	+
OG_445	OEIM01000003	45580	47406	+
OG_125	OEIM01000003	47406	48980	+
OG_62	OEIM01000003	48990	62774	+
OG_130	OEIM01000003	62777	67690	+
OG_877	OEIM01000003	67745	68122	-
OG_876	OEIM01000003	68103	68228	-
OG_275	OEIM01000003	68203	69219	-
OG_317	OEIM01000003	69191	69730	-
OG_908	OEIM01000003	69801	70706	-
OG_32	OEIM01000003	70743	71648	-
OG_74	OEIM01000003	71655	72050	-
OG_323	OEIM01000003	71992	72999	-
OG_168	OEIM01000003	73400	75352	-
OG_416	OEIM01000003	75470	76081	-
OG_306	OEIM01000003	76094	76834	-
OG_770	OEIM01000003	76918	77466	-
OG_448	OEIM01000003	77463	78458	-
OG_338	OEIM01000003	78427	78987	-
OG_717	OEIM01000003	79044	81113	-
OG_232	OEIM01000003	81118	81438	-
OG_875	OEIM01000003	81438	82112	-
OG_175	OEIM01000003	82256	82777	-
OG_214	OEIM01000003	83136	83669	-
OG_287	OEIM01000003	83685	84251	-
OG_197	OEIM01000003	86445	86828	-
OG_267	OEIM01000003	86834	88216	-
OG_842	OEIM01000003	88299	88664	-
OG_841	OEIM01000003	88681	89229	-
OG_761	OEIM01000003	89289	89771	-
OG_840	OEIM01000003	89778	90236	-
OG_836	OEIM01000003	90237	90422	-
OG_754	OEIM01000003	90419	90706	-
OG_833	OEIM01000003	90681	90926	-
OG_3014	OEIM01000003	91553	91762	-
OG_1774	OEIM01000003	91725	91850	-
OG_874	OEIM01000003	91850	92248	-
OG_873	OEIM01000003	92273	92500	-
OG_309	OEIM01000003	92497	92730	-
OG_349	OEIM01000003	93160	93612	-
OG_250	OEIM01000003	93650	94018	-
OG_212	OEIM01000003	94031	94342	-
OG_755	OEIM01000003	94297	94611	-
OG_587	OEIM01000003	95318	95545	-
OG_301	OEIM01000003	96878	97462	-
OG_887	OEIM01000003	97731	98174	+
OG_312	OEIM01000003	98176	99048	+
OG_865	OEIM01000003	99215	99415	+
OG_866	OEIM01000003	99427	99636	+
OG_751	OEIM01000003	99665	100018	+
OG_752	OEIM01000003	100185	100592	+
OG_822	OEIM01000003	100585	100956	+
OG_818	OEIM01000003	100958	101362	+
