GeneID	Chr	Start	End	Strand
OG_4062	OAVV01000102	91	1149	-
OG_1399	OAVV01000102	1151	1639	-
OG_4063	OAVV01000102	1626	1844	-
OG_422	OAVV01000102	1942	2151	-
OG_322	OAVV01000102	2151	3170	-
OG_28	OAVV01000102	3160	3420	-
OG_65	OAVV01000102	3473	3916	-
OG_173	OAVV01000102	3948	4157	-
OG_70	OAVV01000102	4291	9156	-
OG_300	OAVV01000102	9159	9878	-
OG_291	OAVV01000102	9847	10074	-
OG_812	OAVV01000102	10071	10616	-
OG_1149	OAVV01000102	10686	11672	-
OG_4061	OAVV01000102	11701	11871	-
OG_439	OAVV01000102	11914	12639	-
OG_439	OAVV01000102	12642	13370	-
OG_462	OAVV01000102	13409	14101	-
OG_446	OAVV01000102	14104	14856	-
OG_253	OAVV01000102	14907	15560	-
OG_1038	OAVV01000102	15625	17094	-
OG_106	OAVV01000102	17131	18312	-
OG_305	OAVV01000102	18329	18859	-
OG_229	OAVV01000102	18856	19068	-
OG_288	OAVV01000102	19028	20362	-
OG_593	OAVV01000102	20430	20843	-
OG_47	OAVV01000102	20843	23395	-
OG_317	OAVV01000102	23346	23882	-
OG_64	OAVV01000102	23885	25969	-
OG_3093	OAVV01000102	25938	26219	-
OG_878	OAVV01000102	26501	26719	-
OG_396	OAVV01000102	26741	27268	-
OG_317	OAVV01000102	27255	27791	-
OG_879	OAVV01000102	27932	28102	-
OG_211	OAVV01000102	28041	28661	-
OG_4072	OAVV01000102	28639	29061	-
OG_427	OAVV01000102	29048	29491	-
OG_880	OAVV01000102	29472	29720	-
OG_750	OAVV01000102	29674	29919	-
OG_818	OAVV01000102	29879	30280	-
OG_822	OAVV01000102	30267	30644	-
OG_752	OAVV01000102	30641	31018	-
OG_751	OAVV01000102	31258	31623	-
OG_866	OAVV01000102	31639	31851	-
OG_865	OAVV01000102	31851	32072	-
OG_4070	OAVV01000102	32332	32598	+
OG_266	OAVV01000102	32785	33501	+
OG_4071	OAVV01000102	33893	34042	+
OG_3682	OAVV01000102	34099	34698	+
OG_4064	OAVV01000102	34670	35182	+
OG_171	OAVV01000102	35179	35469	+
OG_762	OAVV01000102	35466	35750	+
OG_762	OAVV01000102	35747	36040	+
OG_4065	OAVV01000102	36037	36285	+
OG_349	OAVV01000102	36307	36750	+
OG_309	OAVV01000102	37216	37452	+
OG_874	OAVV01000102	37476	37901	+
OG_4066	OAVV01000102	37885	38022	+
OG_1877	OAVV01000102	38329	38802	+
OG_4067	OAVV01000102	39885	40145	+
OG_754	OAVV01000102	40184	40474	+
OG_834	OAVV01000102	40465	40662	+
OG_840	OAVV01000102	40666	41121	+
OG_761	OAVV01000102	41121	41639	+
OG_841	OAVV01000102	41689	42240	+
OG_842	OAVV01000102	42257	42619	+
OG_267	OAVV01000102	42691	44106	+
OG_197	OAVV01000102	44118	44504	+
OG_479	OAVV01000102	46591	47127	+
OG_214	OAVV01000102	47135	47716	+
OG_175	OAVV01000102	48061	48567	+
OG_875	OAVV01000102	48618	49223	+
OG_232	OAVV01000102	49213	49431	+
OG_717	OAVV01000102	49602	50882	+
OG_305	OAVV01000102	50951	51547	+
OG_717	OAVV01000102	51671	52546	+
OG_338	OAVV01000102	52601	53167	+
OG_448	OAVV01000102	53148	54074	+
OG_770	OAVV01000102	54114	54614	+
OG_306	OAVV01000102	54706	54909	+
OG_305	OAVV01000102	54884	55510	+
OG_306	OAVV01000102	55566	56261	+
OG_416	OAVV01000102	56278	56931	+
OG_269	OAVV01000102	57096	58364	+
OG_168	OAVV01000102	58364	59167	+
OG_323	OAVV01000102	59266	60375	+
OG_317	OAVV01000102	60344	60865	+
OG_323	OAVV01000102	60804	60950	+
OG_4068	OAVV01000102	60950	61183	+
OG_74	OAVV01000102	61176	61565	+
OG_32	OAVV01000102	61572	62516	+
OG_1771	OAVV01000102	62618	62887	+
OG_275	OAVV01000102	62889	63872	+
OG_1030	OAVV01000102	63886	64344	+
OG_130	OAVV01000102	64413	69164	-
OG_62	OAVV01000102	69176	82396	-
OG_125	OAVV01000102	82383	84107	-
OG_445	OAVV01000102	84109	85782	-
OG_408	OAVV01000102	85782	89975	-
OG_583	OAVV01000102	89972	90880	-
OG_253	OAVV01000102	90884	91624	-
OG_351	OAVV01000102	91602	92069	-
OG_456	OAVV01000102	92069	92803	-
OG_319	OAVV01000102	92860	93594	-
OG_191	OAVV01000102	93638	94243	-
OG_896	OAVV01000102	94335	94970	-
OG_70	OAVV01000102	95108	95650	-
OG_4069	OAVV01000102	95653	95964	-
OG_4062	OAVV01000102	96002	97099	-
OG_4062	OAVV01000102	97338	98372	-
OG_3511	OAVV01000102	98369	98563	-
