GeneID	Chr	Start	End	Strand
OG_813	OMDD01000022	1	399	-
OG_316	OMDD01000022	413	601	-
OG_474	OMDD01000022	730	1500	-
OG_465	OMDD01000022	1611	2162	-
OG_465	OMDD01000022	2155	2286	-
OG_477	OMDD01000022	2356	2868	-
OG_477	OMDD01000022	2913	3044	-
OG_100	OMDD01000022	3054	3227	-
OG_100	OMDD01000022	3211	5091	-
OG_426	OMDD01000022	5107	5745	-
OG_1145	OMDD01000022	5782	6015	-
OG_1147	OMDD01000022	6031	6309	-
OG_291	OMDD01000022	6322	9156	-
OG_1148	OMDD01000022	9147	9437	-
OG_1150	OMDD01000022	9649	10545	-
OG_439	OMDD01000022	10549	11625	-
OG_410	OMDD01000022	11628	12635	-
OG_1039	OMDD01000022	12720	14192	-
OG_431	OMDD01000022	14244	15539	-
OG_47	OMDD01000022	15666	17990	-
OG_64	OMDD01000022	17987	21328	-
OG_407	OMDD01000022	21270	21902	-
OG_365	OMDD01000022	21906	22304	-
OG_242	OMDD01000022	22301	22672	-
OG_549	OMDD01000022	22629	22958	-
OG_4767	OMDD01000022	22962	23615	-
OG_298	OMDD01000022	23612	23734	-
OG_1153	OMDD01000022	23768	23863	-
OG_429	OMDD01000022	23867	24850	-
OG_1154	OMDD01000022	24807	25229	-
OG_292	OMDD01000022	25233	25721	-
OG_925	OMDD01000022	26533	26937	+
OG_4771	OMDD01000022	27130	27753	+
OG_1155	OMDD01000022	27870	28220	+
OG_3020	OMDD01000022	28488	28721	-
OG_1060	OMDD01000022	29057	29200	-
OG_1043	OMDD01000022	29220	29687	+
OG_1044	OMDD01000022	29708	30043	+
OG_1046	OMDD01000022	30050	30484	+
OG_1045	OMDD01000022	30503	30655	+
OG_4772	OMDD01000022	30794	30997	+
OG_314	OMDD01000022	31001	31306	+
OG_1048	OMDD01000022	31313	31864	+
OG_1049	OMDD01000022	31944	32105	+
OG_1050	OMDD01000022	32520	32849	+
OG_293	OMDD01000022	32925	33185	+
OG_1051	OMDD01000022	33698	33880	+
OG_1052	OMDD01000022	33884	34042	+
OG_559	OMDD01000022	34008	34352	+
OG_560	OMDD01000022	34358	34993	+
OG_1053	OMDD01000022	34994	35443	+
OG_1054	OMDD01000022	35424	35756	+
OG_434	OMDD01000022	35762	37225	+
OG_1055	OMDD01000022	37281	37829	+
OG_717	OMDD01000022	37842	40316	+
OG_253	OMDD01000022	40329	40643	+
OG_1056	OMDD01000022	40650	40817	+
OG_218	OMDD01000022	40821	42296	+
OG_3863	OMDD01000022	42346	43317	+
OG_1981	OMDD01000022	43384	44019	+
OG_2687	OMDD01000022	44139	44951	+
OG_323	OMDD01000022	44932	45144	+
OG_323	OMDD01000022	45141	46160	+
OG_240	OMDD01000022	46150	46599	+
OG_245	OMDD01000022	46603	47931	+
OG_3309	OMDD01000022	47931	49214	+
OG_312	OMDD01000022	49319	50341	+
OG_568	OMDD01000022	50348	50647	+
OG_1057	OMDD01000022	50607	50852	+
OG_295	OMDD01000022	50859	51485	+
OG_228	OMDD01000022	51492	52220	+
OG_1058	OMDD01000022	52254	52469	+
OG_353	OMDD01000022	52491	53603	+
OG_1059	OMDD01000022	53604	53924	+
OG_211	OMDD01000022	53931	54581	+
OG_326	OMDD01000022	54585	55073	+
OG_791	OMDD01000022	55077	55343	+
OG_62	OMDD01000022	55629	68807	-
OG_314	OMDD01000022	68811	76793	-
OG_239	OMDD01000022	76797	79931	-
OG_445	OMDD01000022	80043	83060	-
OG_415	OMDD01000022	83157	87431	-
OG_584	OMDD01000022	87440	88189	-
OG_277	OMDD01000022	88186	89058	-
OG_464	OMDD01000022	89077	89790	-
OG_238	OMDD01000022	89794	90450	-
OG_156	OMDD01000022	90654	90971	-
OG_813	OMDD01000022	90988	91065	-
