GeneID	Chr	Start	End	Strand
OG_288	ONZZ01000054	40	696	-
OG_813	ONZZ01000054	764	1213	-
OG_47	ONZZ01000054	1216	3702	-
OG_64	ONZZ01000054	3744	5804	-
OG_814	ONZZ01000054	5954	6193	-
OG_396	ONZZ01000054	6245	6772	-
OG_815	ONZZ01000054	6759	7082	-
OG_211	ONZZ01000054	7085	7600	-
OG_816	ONZZ01000054	7588	7839	-
OG_447	ONZZ01000054	7832	8161	-
OG_276	ONZZ01000054	8151	8429	-
OG_427	ONZZ01000054	8413	8823	-
OG_817	ONZZ01000054	8844	8981	-
OG_750	ONZZ01000054	8978	9178	-
OG_818	ONZZ01000054	9126	9488	-
OG_822	ONZZ01000054	9481	9849	-
OG_752	ONZZ01000054	9842	10270	-
OG_823	ONZZ01000054	10252	10422	-
OG_751	ONZZ01000054	10595	10948	-
OG_200	ONZZ01000054	10994	11200	-
OG_1091	ONZZ01000054	11459	11644	-
OG_1091	ONZZ01000054	11756	11911	-
OG_3820	ONZZ01000054	12287	12925	+
OG_2792	ONZZ01000054	13001	13207	+
OG_199	ONZZ01000054	13218	13451	+
OG_250	ONZZ01000054	13828	14304	+
OG_198	ONZZ01000054	14276	14578	+
OG_762	ONZZ01000054	14575	14904	+
OG_1093	ONZZ01000054	14844	14954	+
OG_824	ONZZ01000054	14971	15228	+
OG_825	ONZZ01000054	15200	15346	+
OG_2041	ONZZ01000054	15359	15559	+
OG_349	ONZZ01000054	15575	16021	+
OG_1888	ONZZ01000054	15966	16187	+
OG_2870	ONZZ01000054	16650	16919	+
OG_826	ONZZ01000054	16931	17320	+
OG_827	ONZZ01000054	17832	18281	+
OG_832	ONZZ01000054	19229	19783	+
OG_833	ONZZ01000054	20091	20294	+
OG_2551	ONZZ01000054	20275	20616	+
OG_754	ONZZ01000054	20609	20899	+
OG_834	ONZZ01000054	20901	21104	+
OG_840	ONZZ01000054	21098	21556	+
OG_758	ONZZ01000054	21556	22002	+
OG_841	ONZZ01000054	22055	22600	+
OG_842	ONZZ01000054	22618	22968	+
OG_267	ONZZ01000054	23037	24752	+
OG_197	ONZZ01000054	24772	25242	+
OG_479	ONZZ01000054	27322	27900	+
OG_214	ONZZ01000054	27923	28462	+
OG_175	ONZZ01000054	28840	29334	+
OG_875	ONZZ01000054	29433	30257	+
OG_717	ONZZ01000054	30332	32485	+
OG_338	ONZZ01000054	32534	33106	+
OG_448	ONZZ01000054	33078	33878	+
OG_305	ONZZ01000054	34093	34704	+
OG_448	ONZZ01000054	34800	34940	+
OG_770	ONZZ01000054	34943	35521	+
OG_306	ONZZ01000054	35605	36354	+
OG_416	ONZZ01000054	36381	37001	+
OG_269	ONZZ01000054	37082	38461	+
OG_168	ONZZ01000054	38461	39357	+
OG_323	ONZZ01000054	39422	40396	+
OG_810	ONZZ01000054	40371	40709	+
OG_74	ONZZ01000054	40702	41055	+
OG_32	ONZZ01000054	41067	41357	+
OG_333	ONZZ01000054	41416	42282	+
OG_32	ONZZ01000054	42433	43029	+
OG_908	ONZZ01000054	43076	43891	+
OG_275	ONZZ01000054	43903	44895	+
OG_1030	ONZZ01000054	44895	45434	+
OG_130	ONZZ01000054	45473	50272	-
OG_62	ONZZ01000054	50278	64407	-
OG_125	ONZZ01000054	64418	66229	-
OG_445	ONZZ01000054	66229	68169	-
OG_408	ONZZ01000054	68135	72313	-
OG_583	ONZZ01000054	72304	73233	-
OG_253	ONZZ01000054	73208	73894	-
OG_351	ONZZ01000054	73875	74342	-
OG_456	ONZZ01000054	74339	75004	-
OG_304	ONZZ01000054	75170	75751	-
OG_319	ONZZ01000054	75861	75959	-
OG_191	ONZZ01000054	75956	76612	-
OG_679	ONZZ01000054	76569	77111	-
OG_124	ONZZ01000054	77211	78239	-
OG_70	ONZZ01000054	78564	82508	-
OG_70	ONZZ01000054	82523	83077	-
OG_811	ONZZ01000054	83096	83425	-
OG_65	ONZZ01000054	83474	83935	-
OG_322	ONZZ01000054	83963	84445	-
OG_173	ONZZ01000054	84393	84617	-
OG_300	ONZZ01000054	84622	89469	-
OG_419	ONZZ01000054	89469	89666	-
OG_812	ONZZ01000054	89663	90199	-
OG_1149	ONZZ01000054	90275	91249	-
OG_439	ONZZ01000054	91356	92090	-
OG_462	ONZZ01000054	92093	92770	-
OG_446	ONZZ01000054	92770	93522	-
OG_253	ONZZ01000054	93547	94521	-
OG_1038	ONZZ01000054	94621	96087	-
OG_106	ONZZ01000054	96130	97311	-
OG_229	ONZZ01000054	97333	97506	-
OG_288	ONZZ01000054	97469	97831	-
OG_288	ONZZ01000054	97918	98283	-
