GeneID	Chr	Start	End	Strand
OG_70	HvCF_D4_ms_4	1	2403	-
OG_227	HvCF_D4_ms_4	2502	3596	-
OG_291	HvCF_D4_ms_4	3596	4216	-
OG_70	HvCF_D4_ms_4	4222	5127	-
OG_65	HvCF_D4_ms_4	5131	5574	-
OG_173	HvCF_D4_ms_4	5552	5743	-
OG_100	HvCF_D4_ms_4	5743	8019	-
OG_291	HvCF_D4_ms_4	8012	11659	-
OG_318	HvCF_D4_ms_4	11643	12047	-
OG_300	HvCF_D4_ms_4	12053	15298	-
OG_812	HvCF_D4_ms_4	15310	16008	-
OG_1149	HvCF_D4_ms_4	16109	17083	-
OG_439	HvCF_D4_ms_4	17181	17849	-
OG_462	HvCF_D4_ms_4	17852	18562	-
OG_446	HvCF_D4_ms_4	18562	19314	-
OG_253	HvCF_D4_ms_4	19340	20329	-
OG_1038	HvCF_D4_ms_4	20424	21887	-
OG_106	HvCF_D4_ms_4	21928	23145	-
OG_884	HvCF_D4_ms_4	23171	23446	-
OG_288	HvCF_D4_ms_4	23443	24582	-
OG_813	HvCF_D4_ms_4	24662	25126	-
OG_47	HvCF_D4_ms_4	25129	27651	-
OG_317	HvCF_D4_ms_4	27653	28213	-
OG_64	HvCF_D4_ms_4	28220	30265	-
OG_878	HvCF_D4_ms_4	30902	31054	-
OG_396	HvCF_D4_ms_4	31110	31655	-
OG_210	HvCF_D4_ms_4	31668	32012	-
OG_447	HvCF_D4_ms_4	32112	32855	-
OG_427	HvCF_D4_ms_4	32836	33276	-
OG_880	HvCF_D4_ms_4	33254	33529	-
OG_750	HvCF_D4_ms_4	33483	33692	-
OG_818	HvCF_D4_ms_4	33676	34104	-
OG_822	HvCF_D4_ms_4	34106	34477	-
OG_752	HvCF_D4_ms_4	34470	34877	-
OG_751	HvCF_D4_ms_4	35044	35397	-
OG_866	HvCF_D4_ms_4	35426	35590	-
OG_882	HvCF_D4_ms_4	35571	35852	-
OG_865	HvCF_D4_ms_4	35846	36046	-
OG_312	HvCF_D4_ms_4	36213	37073	-
OG_301	HvCF_D4_ms_4	37340	37993	+
OG_755	HvCF_D4_ms_4	39281	39556	+
OG_212	HvCF_D4_ms_4	39553	39864	+
OG_250	HvCF_D4_ms_4	39869	40237	+
OG_349	HvCF_D4_ms_4	40275	40727	+
OG_309	HvCF_D4_ms_4	41130	41393	+
OG_873	HvCF_D4_ms_4	41390	41617	+
OG_874	HvCF_D4_ms_4	41642	42040	+
OG_1774	HvCF_D4_ms_4	42040	42165	+
OG_3014	HvCF_D4_ms_4	42128	42337	+
OG_833	HvCF_D4_ms_4	42814	43161	+
OG_754	HvCF_D4_ms_4	43136	43417	+
OG_836	HvCF_D4_ms_4	43414	43599	+
OG_840	HvCF_D4_ms_4	43600	44058	+
OG_761	HvCF_D4_ms_4	44065	44547	+
OG_841	HvCF_D4_ms_4	44607	45155	+
OG_842	HvCF_D4_ms_4	45172	45537	+
OG_267	HvCF_D4_ms_4	45620	47002	+
OG_197	HvCF_D4_ms_4	47023	47391	+
OG_3532	HvCF_D4_ms_4	49308	49532	+
OG_287	HvCF_D4_ms_4	49597	50154	+
OG_214	HvCF_D4_ms_4	50163	50696	+
OG_175	HvCF_D4_ms_4	51057	51578	+
OG_875	HvCF_D4_ms_4	51725	52399	+
OG_226	HvCF_D4_ms_4	52421	52669	+
OG_717	HvCF_D4_ms_4	52724	54721	+
OG_338	HvCF_D4_ms_4	54778	55338	+
OG_448	HvCF_D4_ms_4	55307	56302	+
OG_770	HvCF_D4_ms_4	56299	56847	+
OG_306	HvCF_D4_ms_4	56931	57671	+
OG_416	HvCF_D4_ms_4	57684	58295	+
OG_269	HvCF_D4_ms_4	58412	59566	+
OG_168	HvCF_D4_ms_4	59563	60366	+
OG_323	HvCF_D4_ms_4	60768	61775	+
OG_74	HvCF_D4_ms_4	61717	62112	+
OG_32	HvCF_D4_ms_4	62119	63030	+
OG_908	HvCF_D4_ms_4	63067	63966	+
OG_275	HvCF_D4_ms_4	63953	64936	+
OG_3339	HvCF_D4_ms_4	64914	65048	+
OG_843	HvCF_D4_ms_4	65035	65466	+
OG_130	HvCF_D4_ms_4	65481	71018	-
OG_62	HvCF_D4_ms_4	71021	84502	-
OG_125	HvCF_D4_ms_4	84508	86271	-
OG_445	HvCF_D4_ms_4	86271	88121	-
OG_408	HvCF_D4_ms_4	88123	92295	-
OG_583	HvCF_D4_ms_4	92292	93206	-
OG_351	HvCF_D4_ms_4	93218	93679	-
OG_456	HvCF_D4_ms_4	93676	94320	-
OG_304	HvCF_D4_ms_4	94458	95021	-
OG_352	HvCF_D4_ms_4	95065	95505	-
OG_268	HvCF_D4_ms_4	95523	96443	-
OG_319	HvCF_D4_ms_4	96473	97108	-
OG_191	HvCF_D4_ms_4	97144	97782	-
OG_679	HvCF_D4_ms_4	97754	98263	-
OG_124	HvCF_D4_ms_4	98378	99400	-
OG_250	HvCF_D4_ms_4	99662	99847	-
