GeneID	Chr	Start	End	Strand
OG_537	OJNH01000053	3	200	+
OG_248	OJNH01000053	484	1281	+
OG_312	OJNH01000053	1284	2219	+
OG_799	OJNH01000053	2223	2399	+
OG_228	OJNH01000053	2386	3276	+
OG_1993	OJNH01000053	3283	3441	+
OG_353	OJNH01000053	3445	4515	+
OG_211	OJNH01000053	4531	5304	+
OG_219	OJNH01000053	5304	5525	+
OG_113	OJNH01000053	5522	5791	+
OG_1994	OJNH01000053	5797	6021	+
OG_326	OJNH01000053	6040	6264	+
OG_326	OJNH01000053	6321	6575	+
OG_1989	OJNH01000053	6758	6970	+
OG_555	OJNH01000053	7158	7328	+
OG_1990	OJNH01000053	7273	7524	+
OG_62	OJNH01000053	7709	21070	-
OG_314	OJNH01000053	21153	27065	-
OG_1794	OJNH01000053	27066	29702	-
OG_436	OJNH01000053	29714	31672	-
OG_440	OJNH01000053	31811	32419	-
OG_415	OJNH01000053	32421	36956	-
OG_584	OJNH01000053	37153	38061	-
OG_361	OJNH01000053	38000	38965	-
OG_464	OJNH01000053	38972	39682	-
UG_355	OJNH01000053	39967	40116	-
OG_278	OJNH01000053	40118	40492	-
OG_425	OJNH01000053	40496	40993	-
OG_37	OJNH01000053	41075	41770	-
OG_180	OJNH01000053	42233	42343	-
OG_180	OJNH01000053	42425	42622	-
OG_156	OJNH01000053	42720	43046	-
OG_1991	OJNH01000053	43065	44045	-
OG_291	OJNH01000053	44045	47107	-
OG_244	OJNH01000053	47111	50683	-
OG_4698	OJNH01000053	50702	53824	-
OG_176	OJNH01000053	53838	54320	-
OG_176	OJNH01000053	54324	57554	-
OG_120	OJNH01000053	57558	58835	-
OG_364	OJNH01000053	58850	59068	-
OG_2390	OJNH01000053	59075	59641	-
OG_1151	OJNH01000053	59744	60637	-
OG_439	OJNH01000053	60668	61363	-
OG_410	OJNH01000053	61365	62516	-
OG_1038	OJNH01000053	62540	64012	-
OG_431	OJNH01000053	64031	65359	-
OG_47	OJNH01000053	65717	68161	-
OG_64	OJNH01000053	68180	70429	-
OG_412	OJNH01000053	70435	70803	-
OG_424	OJNH01000053	70748	70996	-
OG_409	OJNH01000053	71079	71495	-
OG_243	OJNH01000053	71502	71738	-
OG_3131	OJNH01000053	71711	72052	-
OG_429	OJNH01000053	72052	73056	-
OG_407	OJNH01000053	73060	73662	-
OG_547	OJNH01000053	73655	74203	-
OG_413	OJNH01000053	74343	74939	-
OG_1985	OJNH01000053	74947	75090	-
UG_356	OJNH01000053	75142	75252	-
OG_1986	OJNH01000053	76170	76652	+
OG_3151	OJNH01000053	77147	77269	+
OG_3151	OJNH01000053	77426	77716	+
UG_357	OJNH01000053	77842	77988	-
OG_706	OJNH01000053	78418	79038	+
OG_707	OJNH01000053	79335	79919	+
OG_730	OJNH01000053	79992	80171	+
OG_2429	OJNH01000053	80187	80723	+
OG_718	OJNH01000053	80997	81347	+
OG_368	OJNH01000053	81435	81989	+
OG_2203	OJNH01000053	81958	82515	+
OG_1987	OJNH01000053	82503	82760	+
OG_1988	OJNH01000053	82840	82998	+
OG_1984	OJNH01000053	83007	83267	+
OG_714	OJNH01000053	83294	83617	+
OG_542	OJNH01000053	83624	84097	+
OG_434	OJNH01000053	84097	85551	+
OG_723	OJNH01000053	85499	85843	+
OG_716	OJNH01000053	85800	86294	+
OG_717	OJNH01000053	86310	88661	+
OG_218	OJNH01000053	88648	90030	+
OG_3862	OJNH01000053	90083	91033	+
OG_1980	OJNH01000053	91084	91914	+
OG_2687	OJNH01000053	92032	93045	+
OG_323	OJNH01000053	93141	94337	+
OG_680	OJNH01000053	94282	94713	+
OG_344	OJNH01000053	94713	95219	+
OG_245	OJNH01000053	95219	96463	+
OG_537	OJNH01000053	96456	96665	+
